Source Target Weight
1 0 0.513827562166
2 0 0.766671016573
2 1 0.787592302529
3 0 0.867065510021
3 1 0.844827586207
3 2 0.894706974825
4 0 0.852633746975
4 1 0.80876759224
4 2 0.879089551563
4 3 0.427412197287
5 0 0.880204996797
5 1 0.846863688795
5 2 0.805376388831
5 3 0.837069105033
5 4 0.78400090947
6 0 0.784415210984
6 1 0.760876408739
6 2 0.912668161435
6 3 0.829760327592
6 4 0.793804606831
6 5 0.868349711962
7 0 0.723747980614
7 1 0.722437076016
7 2 0.870494599204
7 3 0.81930355342
7 4 0.798128618693
7 5 0.87823395915
7 6 0.474744027304
8 0 0.938559943665
8 1 0.939013224822
8 2 0.961699550891
8 3 0.755599830949
8 4 0.824830766212
8 5 0.935262233758
8 6 0.84305546909
8 7 0.824480227034
