Source Target Weight
1 0 0.599102132435
2 0 0.806380150642
2 1 0.628953591487
3 0 0.922599167985
3 1 0.858252304584
3 2 0.832703274172
4 0 0.92722980063
4 1 0.854461695956
4 2 0.846521417601
4 3 0.462308826954
5 0 0.92465034965
5 1 0.875170447502
5 2 0.894084200339
5 3 0.576326726343
5 4 0.407819886227
6 0 0.965006568733
6 1 0.87862223393
6 2 0.86928449071
6 3 0.915188145837
6 4 0.921550583769
6 5 0.90276322682
7 0 0.963982193444
7 1 0.874944114454
7 2 0.861960633455
7 3 0.913549198365
7 4 0.917795187465
7 5 0.894095893905
7 6 0.374348697395
8 0 0.961576846307
8 1 0.882134874339
8 2 0.853014726313
8 3 0.916872516378
8 4 0.916081529159
8 5 0.892264739695
8 6 0.533865153026
8 7 0.442898917253
