Source Target Weight
1 0 0.605086541858
2 0 0.762498297235
2 1 0.482408710466
3 0 0.891316001072
3 1 0.832443125618
3 2 0.832066023739
4 0 0.844220835127
4 1 0.745969016756
4 2 0.781904495951
4 3 0.670193832314
5 0 0.850668559934
5 1 0.755807300606
5 2 0.766607005881
5 3 0.798152993689
5 4 0.677993059572
6 0 0.984017971759
6 1 0.970561542825
6 2 0.94368952028
6 3 0.979295052698
6 4 0.956110381078
6 5 0.838205483837
7 0 0.958024381048
7 1 0.959828307286
7 2 0.915757822852
7 3 0.974008673224
7 4 0.953250734449
7 5 0.919639432298
7 6 0.607925305102
8 0 0.959217465963
8 1 0.94613493581
8 2 0.901085522979
8 3 0.970337432809
8 4 0.949347917543
8 5 0.877796817625
8 6 0.679603689785
8 7 0.425950607605
