Source Target Weight
1 0 0.429157427938
2 0 0.544540366189
2 1 0.495522678606
3 0 0.829333871076
3 1 0.831266666667
3 2 0.870804153586
4 0 0.813421483735
4 1 0.813427191809
4 2 0.826879147177
4 3 0.467923794712
5 0 0.814812728809
5 1 0.821872041873
5 2 0.83486382135
5 3 0.527246394303
5 4 0.295944510404
6 0 0.832685634976
6 1 0.818391125375
6 2 0.817101051669
6 3 0.813253366261
6 4 0.779818942242
6 5 0.780287895087
7 0 0.772601027635
7 1 0.789989118607
7 2 0.761428944619
7 3 0.869782433521
7 4 0.832527472527
7 5 0.818395209581
7 6 0.575827237896
8 0 0.80485915493
8 1 0.82279178724
8 2 0.803080957063
8 3 0.875387168142
8 4 0.855888735451
8 5 0.857197367166
8 6 0.727811795037
8 7 0.410220781226
