"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.00336134453781513,0.00672268907563025,0.00672268907563025,0.00504201680672269,0.00560224089635854,0.00840336134453781,0.0291316526610644,0.049859943977591,0.0507002801120448,0.0518207282913165,0.0521008403361344,0.0532212885154062,0.0591036414565826,0.0361344537815126,0.00588235294117647,0.00364145658263305,0.00392156862745098,0.00392156862745098,0.00336134453781513,0.00336134453781513
"Jaccard",0.00476379515680826,0.0095049504950495,0.0095049504950495,0.00713719270420301,0.00792707094728498,0.0118670886075949,0.0405616224648986,0.0684352172241446,0.0695351517479831,0.0710445468509985,0.0714285714285714,0.0729086722947045,0.0806574923547401,0.0500776397515528,0.00832012678288431,0.00515873015873016,0.00555555555555556,0.00555555555555556,0.00476379515680826,0.00476379515680826
"Spanning Trees",0.00459239422838209,0.000622849901390055,0.0110283539995635,0.00498851476766049,0.00505970238987175,0.0141510156234972,0.0293406270243395,0.057041885034721,0.0556357089666903,0.0257571500795848,0.0174747715489048,0.0299603644488684,0.0222083075513524,0.0739873102833712,0.0377896001843396,0.0463229022241762,0.00316738760062663,0.0104252923704848,0.00134194888426009,0.00711837347699884
"Hamming",0.00336134453781513,0.00672268907563025,0.00672268907563025,0.00504201680672269,0.00560224089635854,0.00840336134453781,0.0291316526610644,0.049859943977591,0.0507002801120448,0.0518207282913165,0.0521008403361345,0.0532212885154062,0.0591036414565826,0.0361344537815126,0.00588235294117647,0.00364145658263305,0.00392156862745098,0.00392156862745098,0.00336134453781513,0.00336134453781513
"IM",0.00129038528115228,0.00197949094701361,0.00185722944393062,0.000644022515829212,0.000804180658907294,0.00219499553687544,0.00565456455052151,0.00317168183516614,0.00349180045529797,0.00370306561117529,0.00336676666141119,0.00562458853803885,0.002529956346061,0.00456959338833265,0.00103389722384754,0.00232606549436588,0.00139926943567473,0.00215710767020064,0.00154163484094984,0.00116051216551738
"HIM",0.00254595083178309,0.00495544815414848,0.00493172635164408,0.00359421051694034,0.00400198760573997,0.00614143661099647,0.0209836518154124,0.0353275641610913,0.0359354356719063,0.036736225823859,0.0369176968504521,0.0378427109722754,0.0418308565089292,0.0257544164544934,0.00422321083975493,0.00305538759630273,0.00294420239228057,0.00316479177835179,0.0026148876729919,0.00251450050588715
"alpha=0.5,order=5",0.114810606671604,0.249483081647033,0.231155661269364,0.152441606996308,0.158869683033578,0.275433870628955,1.08603974130717,1.49814673846759,1.68100837637789,1.76214365820362,1.891859804943,1.80906903387146,1.94035566965525,1.29539310727075,0.252803407557,0.11917120767495,0.13978555082149,0.144331569894284,0.129905793026863,0.112317958226442
"alpha=0.5,order=3",0.277820827918162,0.608786622695253,0.560319128608376,0.361909711680714,0.373265839222377,0.660826817061113,2.75742461057475,3.58710623189293,4.04718332890061,4.25704650176073,4.60152871627324,4.37725182847428,4.66422678792622,3.2739339622236,0.631603437613129,0.287806707809531,0.341457395473854,0.354239210234939,0.318700533414752,0.271914458288652
"alpha=0.9,order=3",0.00455724293106499,0.00918762448669374,0.00910514968208558,0.0067496378572359,0.00746291698515026,0.0113930490545049,0.0397157571815832,0.066716310902412,0.0684358207779345,0.0701811514617964,0.0709295745061273,0.0720024637277334,0.0797663376847639,0.0491096219441849,0.00815944545822205,0.00489247801253139,0.00531125628661028,0.00533532840883725,0.00460585205244825,0.00453198404295939
"ST norm",0.00229619307861694,0.000311424940627128,0.00551412111216749,0.00249425221131873,0.00252984579780977,0.0070753897408433,0.0146692611637704,0.0285132116347448,0.0278106812455028,0.0128778630834351,0.00873716343833523,0.0149790617781189,0.0111036974092063,0.0369767887257957,0.0188925518471788,0.0231573103253841,0.00158369247630121,0.00521259897363705,0.000670974341437614,0.0035591717095416
"poly2 alpha=0.5,order=5",30.6456648263387,9.0949629162945,15.7959266730794,69.6942568238238,2.56964420513095,19.6752112186758,71.6133198387334,75.9130782233966,19.9229532767805,1534.16856325115,1015.69805368951,190.33177958448,367.084573294791,112.551181692504,308.668392860911,322.454674141773,6.12821345851166,15.5023124938964,8.86313293172323,4.3929487959399
"poly2 alpha=0.9,order=3",0.0821802693756672,0.549517137177432,1.14700868870387,0.662934993794641,0.0171278673147218,0.0750682679875477,8.04484141312669,14.1878620051928,0.404317552718805,28.0959559695695,23.8542598580095,0.556954170138501,0.953761144722442,4.04033136733638,9.13177554812512,8.99834521787134,0.127403775192046,0.367936042141076,0.0459279988140251,0.0914140829008061
"f(l)=exp(-0.1l)",0.0478612670133455,0.0624023947244486,0.0650368333513553,0.0574998988045217,0.0577293650340773,0.0650720281784501,0.100000829839402,0.0875412787363708,0.12173796431273,0.121209232690538,0.112037784758072,0.104285120568907,0.0892258143659787,0.100435980487962,0.0541458980077762,0.0525801150605038,0.0557833299570671,0.0565237942828037,0.0540261807864809,0.0650241319102099
"f(l)=exp(-0.4l)",0.191445068053382,0.249609578897794,0.260147333405421,0.229999595218087,0.230917460136309,0.2602881127138,0.400003319357609,0.350165114945483,0.48695185725092,0.484836930762153,0.448151139032286,0.417140482275627,0.356903257463915,0.401743921951848,0.216583592031105,0.210320460242015,0.223133319828268,0.226095177131215,0.216104723145924,0.26009652764084
"f(l)=exp(-0.9l)",0.430751403120109,0.561621552520037,0.585331500162197,0.517499089240695,0.519564285306696,0.585648253606051,0.900007468554622,0.787871508627339,1.09564167881457,1.09088309421484,1.00834006282264,0.93856608512016,0.803032329293808,0.903923824391656,0.487313082069985,0.473221035544534,0.502049969613604,0.508714148545233,0.486235627078328,0.58521718719189
"f(l)=exp(-1.2l)",0.574335204160145,0.748828736693382,0.780442000216264,0.689998785654261,0.692752380408927,0.780864338141401,1.20000995807283,1.05049534483645,1.46085557175276,1.45451079228646,1.34445341709686,1.25142144682688,1.07070977239174,1.20523176585554,0.649750776093313,0.630961380726045,0.669399959484805,0.678285531393645,0.648314169437771,0.78028958292252
"f(l)=exp(-3l)",1.43583801040036,1.87207184173346,1.95110500054066,1.72499696413565,1.73188095102232,1.9521608453535,3.00002489518207,2.62623836209113,3.6521389293819,3.63627698071615,3.36113354274215,3.1285536170672,2.67677443097936,3.01307941463886,1.62437694023328,1.57740345181511,1.67349989871201,1.69571382848411,1.62078542359443,1.9507239573063
"f(l)= l. 1(l<2)",0.198545766047808,0.309429027237467,0.349864513009097,0.323806641001436,0.375582561973689,0.196121565882012,2.81658495624022,2.04229071474971,2.7167182039369,2.74954442726894,2.05362554008008,2.80606036502639,1.99648904908266,2.01225583134009,0.284402538384385,0.289312199414658,0.246711601317808,0.244552046229986,0.294471527817177,0.254054779334592
