"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.00224089635854342,0.00280112044817927,0.00252100840336134,0.00364145658263305,0.00280112044817927,0.00280112044817927,0.00756302521008403,0.0103641456582633,0.00952380952380952,0.00952380952380952,0.0134453781512605,0.00868347338935574,0.00868347338935574,0.00728291316526611,0.00392156862745098,0.00448179271708683,0.00168067226890756,0.00168067226890756,0.00336134453781513,0.00448179271708683
"Jaccard",0.153846153846154,0.188679245283019,0.169811320754717,0.236363636363636,0.188679245283019,0.188679245283019,0.435483870967742,0.552238805970149,0.523076923076923,0.523076923076923,0.666666666666667,0.492063492063492,0.492063492063492,0.426229508196721,0.254545454545455,0.285714285714286,0.117647058823529,0.117647058823529,0.222222222222222,0.285714285714286
"Spanning Trees",0.467644266463541,0.391106997201724,0.7440791365193,0.843945376477443,0.123601445103969,0.307059539396032,0.941084149825635,1.00562275596503,0.534747450329519,0.578006904584413,0.498427308376687,0.694671066663783,0.153355759478956,0.0167632161000313,0.127355816333292,0.687323566552344,0.586174030712392,0.167956855765375,0.536173984164396,1.01577778991723
"Hamming",0.0227920227920228,0.0284900284900285,0.0256410256410256,0.037037037037037,0.0284900284900285,0.0284900284900285,0.0769230769230769,0.105413105413105,0.0968660968660969,0.0968660968660969,0.136752136752137,0.0883190883190883,0.0883190883190883,0.0740740740740741,0.0398860398860399,0.0455840455840456,0.0170940170940171,0.0170940170940171,0.0341880341880342,0.0455840455840456
"IM",0.019228511852422,0.0223012702987917,0.0107885324715071,0.0182892802383378,0.0146689672794582,0.0289751302521139,0.02367870654496,0.0200802930892675,0.0342915427395777,0.0157867266176344,0.0463509609562936,0.0246353736791384,0.0341641604784656,0.022934901865647,0.0155587946779863,0.017865429441651,0.0135650912366017,0.00788792926076675,0.0118748328201313,0.0313649515479662
"HIM",0.021085682002378,0.0255834749428455,0.0196704680779652,0.0292082170297958,0.0226589973786182,0.028733603119776,0.056911514243411,0.0758786562986765,0.0726599980234391,0.069398348176927,0.10210180823043,0.0648350329599118,0.0669606273220065,0.0548314607388781,0.0302735220087001,0.0346199276497147,0.0154307666800434,0.0133121156927329,0.0255913397084664,0.0391258571625889
"alpha=0.5,order=5",0.0748136668635205,0.0920022574371456,0.0794998795284657,0.116246090118825,0.0938387983534448,0.09144154729095,0.236200474504023,0.313679849596312,0.307683919846726,0.29387057728833,0.426381650816148,0.271569511307527,0.283731350992089,0.235453354263465,0.133861878089233,0.142264743749438,0.0530194745561452,0.0602094113049159,0.117545876700715,0.145015654869919
"alpha=0.5,order=3",0.0422443358556911,0.0523041815516802,0.045999504793547,0.0669899410505189,0.0530148328886333,0.0521639448963716,0.137422546001198,0.185044158244625,0.176789527810433,0.171816290898829,0.247224255834619,0.158218023333256,0.162108844705641,0.135143594159304,0.0751196978425416,0.0820365033855729,0.0306411180179591,0.0331469945937007,0.065372003645869,0.0832599860543599
"alpha=0.9,order=3",0.0295133735758035,0.036769181551376,0.0327860987818296,0.0475692496634453,0.0368867875568921,0.0367424363537664,0.0983071382101623,0.133832631466522,0.124597808129611,0.123353743920532,0.17576244624859,0.113083839247614,0.113928137887809,0.0953063865108926,0.052170614620589,0.0583631991871235,0.0218421371740986,0.0226106404010425,0.0449541804445241,0.0588700670279816
"ST norm",0.22965206903612,0.193098315818068,0.355774412603787,0.398591013356541,0.061722163463381,0.152334732540693,0.438637197202217,0.464325284515286,0.261179394144876,0.281217332555995,0.244179343430832,0.334010443941875,0.0765279565247265,0.0083814117824277,0.063591978863416,0.330742553145845,0.284973619951752,0.0837815673715824,0.261843881890172,0.468298697197869
