"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.00784313725490196,0.0128851540616246,0.0117647058823529,0.0106442577030812,0.0112044817927171,0.0151260504201681,0.0196078431372549,0.0207282913165266,0.019047619047619,0.0218487394957983,0.0246498599439776,0.0201680672268908,0.0196078431372549,0.019047619047619,0.0156862745098039,0.0156862745098039,0.0168067226890756,0.0151260504201681,0.0145658263305322,0.0159663865546218
"Jaccard",0.285714285714286,0.429906542056075,0.4,0.368932038834951,0.384615384615385,0.486486486486487,0.588235294117647,0.611570247933884,0.576271186440678,0.634146341463415,0.6875,0.6,0.588235294117647,0.576271186440678,0.5,0.5,0.526315789473684,0.486486486486487,0.472727272727273,0.504424778761062
"Spanning Trees",14.2976131980952,5.89381269403411,7.11430072968242,1.02900049268488,1.06816728129583,1.72408230082771,4.34940921588365,0.781850583721141,1.58990338043068,1.12679222731139,1.29335335169034,3.25722538278271,2.84655899763048,5.57091287440235,1.75160437007942,4.65279514889306,5.61829075408898,4.0747817909357,1.86705882824142,9.57097569555097
"Hamming",0.00784313725490196,0.0128851540616246,0.0117647058823529,0.0106442577030812,0.0112044817927171,0.0151260504201681,0.0196078431372549,0.0207282913165266,0.019047619047619,0.0218487394957983,0.0246498599439776,0.0201680672268908,0.0196078431372549,0.019047619047619,0.0156862745098039,0.0156862745098039,0.0168067226890756,0.0151260504201681,0.0145658263305322,0.0159663865546218
"IM",0.0382661288038391,0.0198575288340686,0.0204519421453371,0.0196347199657801,0.0160253010501042,0.0103717257757581,0.0283137117105846,0.0168598693044883,0.00951385301493942,0.0182426788220939,0.0119907283647056,0.018150190960319,0.0177491747185232,0.0203386986684703,0.0239438275383046,0.0254740805879231,0.0149637354475697,0.0151812843451841,0.0110692200104355,0.0214412054305337
"HIM",0.027620747777995,0.0167384086248913,0.0166836782816992,0.0157927586283114,0.0138266171927518,0.0129686178307673,0.0243529647407178,0.0188933487485308,0.015055317840768,0.0201266334512423,0.019382894030225,0.019185676526571,0.0187016137764079,0.0197037363831083,0.020240628512734,0.0211540538644124,0.015911934296187,0.0151536925480689,0.0129362074877193,0.018903052530292
"alpha=0.5,order=5",0.0143081736855339,0.023376023799402,0.0209524627516636,0.0191181666526281,0.0211234892120462,0.0277578699669533,0.0353966601407252,0.0378257268747284,0.0346426830498179,0.0391705147621789,0.0443553931073622,0.0355841292522637,0.0351438927143686,0.0348745784715272,0.028619087381644,0.0285302274588775,0.0311183484429564,0.02777738605566,0.0265821857222766,0.0285551551547673
"alpha=0.5,order=3",0.00985967632306134,0.0161637824047608,0.0146463790344765,0.0132895979250966,0.0142673799744083,0.0190669502203963,0.0245414285945993,0.0260693277214949,0.0239222538515449,0.0272712325013444,0.0307832169627004,0.0249713351505891,0.0244371314306925,0.0239401994409034,0.0197113453761264,0.0196752682687902,0.0212310068655203,0.0190529319340154,0.0183072931210398,0.019906018127278
"alpha=0.9,order=3",0.00851758397951819,0.0139813589462976,0.012727627673779,0.0115266726124038,0.0122241311493053,0.0164435918853652,0.0212546800367012,0.0225127568091633,0.0206768677211411,0.0236584206322967,0.0266873193004803,0.0217608864534776,0.0212098881555352,0.0206693668788474,0.0170274187845576,0.017013184314209,0.0182765352690738,0.0164330232037312,0.015812066789936,0.0172813623489245
"ST norm",0.999998765033403,0.994502259935713,0.998374543545866,0.473444149223583,0.488496454390518,0.697307831017126,0.974500432685043,0.372157639968012,0.661205017870821,0.51049286058568,0.569428475801071,0.925863760840863,0.890281080398349,0.992414869558816,0.70431009136102,0.981110285494312,0.992764587020533,0.966576222080168,0.732235184882703,0.99986056307868
