"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.00280112044817927,0.00448179271708683,0.00448179271708683,0.00560224089635854,0.00504201680672269,0.00448179271708683,0.0140056022408964,0.0235294117647059,0.0215686274509804,0.0187675070028011,0.019047619047619,0.0207282913165266,0.0151260504201681,0.0117647058823529,0.00448179271708683,0.00560224089635854,0.00560224089635854,0.00448179271708683,0.00392156862745098,0.0061624649859944
"Jaccard",0.112359550561798,0.173913043478261,0.173913043478261,0.212765957446809,0.193548387096774,0.173913043478261,0.458715596330275,0.666666666666667,0.631147540983607,0.572649572649573,0.576271186440678,0.611570247933884,0.486486486486487,0.4,0.173913043478261,0.212765957446809,0.212765957446809,0.173913043478261,0.153846153846154,0.231578947368421
"Spanning Trees",6.50876913697159,2.65862153526162,1.95498736720637,2.39734747766007,3.78364183877992,0.0621317811069755,9.84082487773582,3.84537156552334,3.06728571129298,1.16669952167287,3.05590648458786,0.0116688987427764,4.18672470448715,11.9321273058138,2.3426795501959,0.0469169197876447,2.60299827979966,6.69734284202171,4.37260741275743,1.81411548217519
"Hamming",0.00280112044817927,0.00448179271708683,0.00448179271708683,0.00560224089635854,0.00504201680672269,0.00448179271708683,0.0140056022408964,0.0235294117647059,0.0215686274509804,0.0187675070028011,0.019047619047619,0.0207282913165266,0.0151260504201681,0.0117647058823529,0.00448179271708683,0.00560224089635854,0.00560224089635854,0.00448179271708683,0.00392156862745098,0.0061624649859944
"IM",0.0180963601699042,0.0085180672829214,0.00475218698769409,0.00950100029704779,0.0119008298213167,0.00176744134544507,0.0257881798312925,0.0264663255219246,0.0165688248587018,0.00962103328151144,0.00833716833730001,0.00663585595075592,0.0117574250499956,0.0318694916253931,0.0103525173900072,0.0130655788112171,0.0083977235200786,0.0107801236488892,0.008652543371435,0.00712859948696951
"HIM",0.0129484463771547,0.0068060243973743,0.00461896888520271,0.00779917013871778,0.00913924734087045,0.00340663432646661,0.0207507483376056,0.0250409624877475,0.0192318959975027,0.0149128065853504,0.0147023836038191,0.0153898772753712,0.0135468528655133,0.0240215819728767,0.00797687539921908,0.0100522249460743,0.00713816725008995,0.00825522658211976,0.0067173360528699,0.00666306631173775
"alpha=0.5,order=5",0.00552763146777978,0.00963561963793105,0.00939119091529708,0.00984761695293585,0.00864118087613162,0.00780423791377686,0.0259991210908962,0.0443568715043791,0.0407752719508015,0.0338917891952832,0.0346158981748639,0.0385877892393393,0.0286841297500624,0.0220608655290957,0.00789883546953722,0.0105598709333267,0.0104563755784474,0.00811536425582179,0.00846973837670279,0.0117007013267553
"alpha=0.5,order=3",0.00362825788259442,0.00601214652057362,0.00594683285420303,0.00692394531739192,0.00616973976903251,0.00552277311305363,0.0176797509250242,0.0298945542303406,0.0274481405710677,0.0234466749299431,0.02385190621713,0.0262169091971382,0.0192557555327604,0.0149020965877667,0.00555350840447152,0.00711969565792498,0.00707337181135874,0.00558276708420707,0.00526592573077568,0.00785103924499898
"alpha=0.9,order=3",0.00307392790055245,0.00498229814125053,0.00496140178127367,0.00604025019855349,0.00541629398901432,0.00482797212705041,0.0152176283798629,0.0256270142545161,0.0235087359002282,0.0203155948519944,0.0206353161595611,0.0225424755952461,0.0164862928100648,0.0127965825678674,0.00484000496914122,0.00610363723665552,0.00608283970318619,0.00484103098984762,0.00436070289855672,0.00671893414444407
"ST norm",0.997023809523809,0.869080779944289,0.751978891820568,0.833249623304875,0.955531743905705,0.0310559006211023,0.999893538903342,0.958138031109018,0.911045921662786,0.525095841434077,0.910073684873687,0.00583438316918395,0.970062972785911,0.999986848657338,0.82470119521912,0.0234541577824624,0.862108589485793,0.99753466872111,0.975077881619939,0.719717064544633
"poly2 alpha=0.5,order=5",0.00488884516452738,0.00618720336563129,0.00586041150868285,0.0080261439360643,0.0078050823973788,0.0268028228040647,0.0269012875832414,0.0358744775804582,0.0972237057312912,0.0233990495670836,0.0215654553294813,0.0560116546053841,0.0435128908335853,0.0512598444066081,0.0055325398574098,0.00786247249979077,0.00743515585773147,0.00632747133899172,0.00655159295732686,0.0095400968571877
"poly2 alpha=0.9,order=3",0.00373116371881172,0.0040149524300408,0.00455778754663586,0.00552364239813967,0.00518084563591695,0.00594760001797609,0.0087789499688559,0.0122455570095796,0.0125965975201367,0.0109563378870244,0.0108527589602442,0.0133777404405711,0.0123014936975755,0.00870321814264473,0.0037762370918458,0.00527206781078752,0.00604955849530205,0.00511122730649514,0.00417883509236163,0.00483715878765753
"f(l)=exp(-0.1l)",0.078299679874404,0.0886633747068355,0.0826327195170197,0.0760075028587482,0.0768846789800907,0.0710206002950113,0.164108360541092,0.114365992706747,0.072778418273688,0.0812980490920651,0.0656806070695992,0.0847963442274564,0.0799644178191303,0.138317976620327,0.083680133816313,0.112927748553469,0.079426315514358,0.119695544657352,0.0737912788655945,0.0790659518039059
"f(l)=exp(-0.4l)",0.313198719497616,0.354653498827342,0.330530878068079,0.304030011434993,0.307538715920363,0.284082401180045,0.656433442164366,0.457463970826989,0.291113673094752,0.32519219636826,0.262722428278397,0.339185376909825,0.319857671276521,0.553271906481307,0.334720535265252,0.451710994213875,0.317705262057432,0.478782178629407,0.295165115462378,0.316263807215624
"f(l)=exp(-0.9l)",0.704697118869636,0.79797037236152,0.743694475653177,0.684067525728734,0.691962110820817,0.639185402655102,1.47697524486982,1.02929393436073,0.655005764463192,0.731682441828586,0.591125463626393,0.763167098047107,0.719679760372173,1.24486178958294,0.753121204346817,1.01634973698122,0.714836839629222,1.07725990191617,0.66412150979035,0.711593566235153
"f(l)=exp(-1.2l)",0.939596158492849,1.06396049648203,0.991592634204236,0.912090034304978,0.922616147761089,0.852247203540135,1.9693003264931,1.37239191248097,0.873341019284256,0.975576589104782,0.788167284835191,1.01755613072948,0.959573013829564,1.65981571944392,1.00416160579576,1.35513298264163,0.953115786172295,1.43634653588822,0.885495346387134,0.948791421646871
"f(l)=exp(-3l)",2.34899039623212,2.65990124120507,2.47898158551059,2.28022508576245,2.30654036940272,2.13061800885034,4.92325081623275,3.43097978120241,2.18335254821064,2.43894147276195,1.97041821208798,2.54389032682369,2.39893253457391,4.1495392986098,2.51040401448939,3.38783245660407,2.38278946543074,3.59086633972055,2.21373836596784,2.37197855411718
"f(l)= l. 1(l<2)",3.48957900104317,3.4991684082232,0.703481897367764,0.744307783572478,0.63826105674823,0.613888106239881,2.50964025797778,2.17140898052708,2.05258028828204,0.701079893784111,2.0408753660545,2.82859045316808,2.02221723256432,2.25421390278255,2.02406164110507,2.19177600671376,0.756426344553746,1.05921255676939,0.375471719124308,2.11241458839188
