"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.00168067226890756,0.00224089635854342,0.0030812324929972,0.00532212885154062,0.00448179271708683,0.0061624649859944,0.0324929971988795,0.0490196078431373,0.0521008403361344,0.0602240896358543,0.053781512605042,0.057703081232493,0.0565826330532213,0.0274509803921569,0.00280112044817927,0.00392156862745098,0.00448179271708683,0.00504201680672269,0.00448179271708683,0.0061624649859944
"Jaccard",0.011605415860735,0.0154440154440154,0.0211538461538462,0.0362595419847328,0.0306513409961686,0.0419047619047619,0.202797202797203,0.291181364392679,0.306930693069307,0.34621578099839,0.314754098360656,0.33387358184765,0.328990228013029,0.174377224199288,0.0192678227360308,0.0268714011516315,0.0306513409961686,0.0344168260038241,0.0306513409961686,0.0419047619047619
"Spanning Trees",0.125889433207448,0.0225320257900137,0.122733348475947,0.081708808584267,0.0595958631671749,0.482985150399685,0.885724381746286,0.515585155624024,0.797263336887482,0.664296651535182,0.186871887411939,0.357003043694874,0.381465929519919,1.38883082907762,0.184773547301148,0.00672299112497399,0.0621535980758665,0.14672975855234,0.0627128966432622,0.125772468840609
"Hamming",0.00168067226890756,0.00224089635854342,0.0030812324929972,0.00532212885154062,0.00448179271708683,0.0061624649859944,0.0324929971988796,0.0490196078431373,0.0521008403361345,0.0602240896358543,0.053781512605042,0.057703081232493,0.0565826330532213,0.0274509803921569,0.00280112044817927,0.00392156862745098,0.00448179271708683,0.00504201680672269,0.00448179271708683,0.0061624649859944
"IM",0.0015265775780906,0.00245409373102199,0.00446408920688672,0.00304607949798275,0.00223642979358464,0.00406101568028379,0.00585085407105631,0.0102772852920898,0.0130669228300337,0.0141179224159573,0.00589468314151701,0.0152913585189835,0.0152439426729732,0.0146878050914619,0.00460578025916694,0.00554869273739224,0.00498318686389046,0.00446845172111858,0.00221544369707293,0.00211466263377963
"HIM",0.00160547475492514,0.00234991409740596,0.00383549775928394,0.00433610746063978,0.00354175692139972,0.00521861203094835,0.0233455280549315,0.0354157065866966,0.0379818511659018,0.0437393227302985,0.0382570149608224,0.042210610212835,0.0414365306912414,0.0220146308496799,0.00381179010183798,0.00480451306553521,0.00473912530322754,0.00476387417252186,0.00353515605976828,0.00460693893807541
"alpha=0.5,order=5",0.00702686937753742,0.00883698771846768,0.0103127057902876,0.0190690115575326,0.0165266396237296,0.0232490088952343,0.133041014159606,0.165371866594956,0.183202466577235,0.210014044186897,0.176302460608396,0.201938119985487,0.200594796147168,0.119176213226123,0.0101514734540364,0.0149120471646598,0.0154456381890218,0.018308710583525,0.0167911336061176,0.0219011146803999
"alpha=0.5,order=3",0.00299461732775274,0.0038752344883549,0.00493025287777215,0.00881720890699536,0.00751899918643744,0.0104277253641231,0.0571023357068322,0.0790890698864883,0.0855458099536801,0.0986533697840877,0.0858482181218598,0.0947209775638868,0.0934231107636785,0.049764883929756,0.00466945038208878,0.00668472564609439,0.00729025600453011,0.00838695964805304,0.00757358153085187,0.0101650833108283
"alpha=0.9,order=3",0.00200334602719961,0.00265147963572052,0.00357543307134083,0.00626549765138928,0.00529183248263648,0.00725245252001281,0.0384724727013253,0.057429479430338,0.0612918699734621,0.0708093590147248,0.0628643336097949,0.0679078087096644,0.0667198141712529,0.0327329284553027,0.00330852719439553,0.00464775104510372,0.00524833266860684,0.00592477688747332,0.00527974246026379,0.00721797742759167
"ST norm",0.0628617183654027,0.0112655362803112,0.0612897571536966,0.0408316896686684,0.0297891153541809,0.236905052722948,0.416014095293194,0.252229699808403,0.378777556425171,0.320449820251168,0.0931649827132101,0.176629524691,0.188453237196736,0.6008110521493,0.0921248178636335,0.00336148290130042,0.0310667985809612,0.0732335355368487,0.0313461755278227,0.0628034670658417
"poly2 alpha=0.5,order=5",259.211089029384,12811.2480812251,18916.6073939501,1004.84620831128,1446.71642373154,96912.9641559018,1029494.73598016,3287.25696017226,5333.32367111628,9328.57308660949,2835.80756968557,857.902515550308,1934.16653385243,5733.40057455774,100.794070163733,574.455618558692,3379.68537025795,6233.97421316946,254.405181729317,644.611227517458
"poly2 alpha=0.9,order=3",0.368552205292861,430.059582180511,551.29089686084,1.19954045867511,1.75414252006394,2853.09912456257,29594.8713631498,3.82348123364598,111.856112211869,164.583321577134,24.6409615467455,23.9678169899543,25.7499697700555,12.0107778719974,1.42006333441828,0.557348232023558,84.922992821038,179.297236002753,2.59176010341454,1.3073620010882
"f(l)=exp(-0.1l)",0.0367734127495215,0.039076561767616,0.0469380567826977,0.0499533381872916,0.0509770877719195,0.0610416811397805,0.165081538384226,0.0648918419951175,0.0769770244069416,0.0812410553852249,0.0926321881639632,0.101824170549766,0.0982411689347374,0.161258296264431,0.0449704624180519,0.0557767171303352,0.058106072387093,0.0526139444203893,0.0487709796816105,0.0464232140884833
"f(l)=exp(-0.4l)",0.147093650998086,0.156306247070464,0.187752227130791,0.199813352749166,0.203908351087678,0.244166724559122,0.660326153536904,0.25956736798047,0.307908097627766,0.3249642215409,0.370528752655853,0.407296682199066,0.39296467573895,0.645033185057724,0.179881849672208,0.223106868521341,0.232424289548372,0.210455777681557,0.195083918726442,0.185692856353933
"f(l)=exp(-0.9l)",0.330960714745693,0.351689055908544,0.42244251104428,0.449580043685624,0.458793789947275,0.549375130258024,1.48573384545803,0.584026577956058,0.692793219662474,0.731169498467024,0.83368969347567,0.916417534947898,0.884170520412637,1.45132466637988,0.404734161762467,0.501990454173017,0.522954651483837,0.473525499783504,0.438938817134495,0.417808926796349
"f(l)=exp(-1.2l)",0.441280952994258,0.468918741211392,0.563256681392372,0.599440058247499,0.611725053263034,0.732500173677365,1.98097846061071,0.77870210394141,0.923724292883297,0.974892664622698,1.11158625796756,1.2218900465972,1.17889402721685,1.93509955517317,0.539645549016623,0.669320605564022,0.697272868645117,0.631367333044671,0.585251756179326,0.557078569061799
"f(l)=exp(-3l)",1.10320238248564,1.17229685302848,1.40814170348093,1.49860014561875,1.52931263315759,1.83125043419341,4.95244615152678,1.94675525985353,2.30931073220824,2.43723166155675,2.7789656449189,3.05472511649299,2.94723506804212,4.83774888793293,1.34911387254156,1.67330151391006,1.74318217161279,1.57841833261168,1.46312939044832,1.3926964226545
"f(l)= l. 1(l<2)",1.94255974379237,1.94550529805931,2.8256238937882,2.82584314551554,0.292982454428142,1.97522265565366,2.00362028705406,2.80157035647475,2.78981127784676,2.04904103976925,0.439586148992887,2.83257719331114,3.36542489257719,2.80433637695983,0.247400933110147,2.01475446219434,2.02596669946614,2.80265957862144,2.80197857925871,0.259470704816016
