"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Hamming1",0.0266106442577031,0.026890756302521,0.0266106442577031,0.0263305322128852,0.0226890756302521,0.0221288515406162,0.0226890756302521,0.023249299719888,0.0226890756302521,0.0801120448179272,0.069187675070028,0.0593837535014006,0.0540616246498599,0.0467787114845938,0.0403361344537815,0.0366946778711485,0.0322128851540616,0.0296918767507003,0.0243697478991597,0.02296918767507
"Jaccard",0.0667603654251581,0.0695148443157133,0.0707898658718331,0.071920428462127,0.0641330166270784,0.0648072190319934,0.0685279187817259,0.0720486111111111,0.072192513368984,0.250657318141981,0.248741188318228,0.24537037037037,0.254617414248021,0.252647503782148,0.249566724436742,0.257874015748031,0.257847533632287,0.267002518891688,0.251445086705202,0.26797385620915
"Spanning Trees",2.9423104403719,2.58778656531291,2.36262640085596,2.21621113334186,3.03983921114207,3.12346968543346,2.54908480650141,2.31186147715903,2.29063033696144,12.5071366959058,12.2438419729129,12.7444553314953,12.5322945433545,12.0130223465803,12.3274138898317,12.4648957409295,13.0933855511423,11.2663159436406,15.0166903971145,11.8825103646383
"Hamming",0.0266106442577031,0.026890756302521,0.0266106442577031,0.0263305322128852,0.0226890756302521,0.0221288515406162,0.0226890756302521,0.023249299719888,0.0226890756302521,0.0801120448179272,0.069187675070028,0.0593837535014006,0.0540616246498599,0.0467787114845938,0.0403361344537815,0.0366946778711485,0.0322128851540616,0.0296918767507003,0.0243697478991597,0.02296918767507
"IM",0.0374454844540824,0.0336163217129107,0.034158761117166,0.0281220225815889,0.0350458215271698,0.0394590307315423,0.0297089041335537,0.0279323945469977,0.026159859126244,0.122255116768399,0.10701882436367,0.101438239515778,0.0935979069233353,0.0839561804360951,0.0751154382505025,0.0704350680563611,0.0605617669341395,0.0605131894283973,0.0570643977097522,0.0497214235870784
"HIM",0.0324830008913197,0.0304398575885917,0.0306181918870925,0.0272410084311611,0.0295212106752885,0.031989851334286,0.026433058258287,0.0256977489538902,0.0244860407422294,0.103354374123605,0.0901109403729029,0.0831148200262008,0.0764304502152502,0.067959135079756,0.0602881945584647,0.0561586956586937,0.048504626501674,0.0476626354693898,0.0438761330260848,0.0387285653360556
"alpha=0.5,order=5",0.591401195535622,0.487497560923984,0.474157136891922,0.345128820357681,0.420389557163348,0.355052704018788,0.25307543563448,0.235629776308844,0.218637209835144,1.52712382923821,0.87332140596402,0.498936676405796,0.350167608621822,0.259273063302184,0.171783498436583,0.141925992149191,0.108835036755897,0.0869416421192405,0.0674429931635592,0.0582476453416901
"alpha=0.5,order=3",0.441030882615897,0.34229259655305,0.302429318790864,0.194161316491319,0.247596748185971,0.197506166555607,0.123032750226276,0.104058952603595,0.0972125435562619,0.68705935868071,0.334451718994815,0.181782002783505,0.129265202286989,0.0984670751722033,0.0726912085835999,0.0627669273961653,0.0518735238101775,0.0449634015207443,0.0359707123769767,0.0327877106066622
"alpha=0.9,order=3",0.0362284609169403,0.0360326539226114,0.0356741735271786,0.034541820884924,0.0305674557778274,0.0292146295403605,0.0293259036374119,0.0301088268769394,0.0292111239660202,0.108032758741871,0.0903129050029852,0.0747146729514954,0.0669174100979315,0.057081693457949,0.0482499246578796,0.0435284562078461,0.037837072054816,0.0342806137823067,0.0278843601918206,0.026043579740456
"ST norm",0.899797595018853,0.860142790818424,0.827865244702366,0.803391719363883,0.908683647185747,0.915701064265702,0.855024014121437,0.819709297260635,0.816196137965973,0.999992599723662,0.999990370695982,0.999994163102016,0.999992783575656,0.999987870635543,0.999991142722654,0.999992280434054,0.999995882401403,0.999974406740957,0.99999939832206,0.999986179673217
"poly2 alpha=0.5,order=5",783.284472511444,736.257597776147,1157.23337477523,485.10069562615,1495.17478300276,243.634541058132,49.5292988616739,91.4692326979988,143.427255556455,559.305798291106,5562.26219970781,1070.22879816136,282.289046708724,609.160710646497,401.133689748194,213.709694758904,2772.16337141117,947.151083067334,2624.88600974539,3591.63775061118
"poly2 alpha=0.9,order=3",23.3400738661733,0.825416327223803,29.9581560316794,12.6609021028424,1.51783020968834,0.358462468590162,0.106349262691595,1.93078532469888,2.07582598290545,0.810182884888514,25.9149744557727,11.0280638106247,3.5113619652938,0.405016772424009,0.160355375165105,1.86069549951017,51.7104222012345,23.590750346737,3.73130651495313,4.5822653870152
"f(l)=exp(-0.1l)",0.120851700879586,0.137866979484237,0.142848024305499,0.125953154231033,0.140350558766895,0.125664923664744,0.119151077330008,0.110188702508121,0.107937423862912,0.359772066868147,0.33406011501288,0.300639195065408,0.284630615058841,0.271452678761247,0.23371405774282,0.231415404513284,0.198487301487839,0.173438553679032,0.193551489912712,0.153515201310929
"f(l)=exp(-0.4l)",0.483406803518346,0.551467917936947,0.571392097221998,0.503812616924131,0.561402235067579,0.502659694658978,0.476604309320033,0.440754810032482,0.43174969545165,1.43908826747259,1.33624046005152,1.20255678026163,1.13852246023536,1.08581071504499,0.934856230971281,0.925661618053135,0.793949205951356,0.693754214716129,0.774205959650849,0.614060805243716
"f(l)=exp(-0.9l)",1.08766530791628,1.24080281535813,1.28563221874949,1.13357838807929,1.26315502890205,1.1309843129827,1.07235969597007,0.991698322573084,0.971436814766213,3.23794860181332,3.00654103511592,2.70575275558867,2.56167553552957,2.44307410885122,2.10342651968538,2.08273864061955,1.78638571339055,1.56094698311129,1.74196340921441,1.38163681179836
"f(l)=exp(-1.2l)",1.45022041055503,1.65440375381084,1.714176291666,1.51143785077239,1.68420670520274,1.50797908397693,1.4298129279601,1.32226443009745,1.29524908635495,4.31726480241776,4.00872138015456,3.60767034078489,3.4155673807061,3.25743214513496,2.80456869291384,2.7769848541594,2.38184761785407,2.08126264414839,2.32261787895255,1.84218241573115
"f(l)=exp(-3l)",3.62555102638759,4.13600938452711,4.28544072916498,3.77859462693098,4.21051676300685,3.76994770994233,3.57453231990025,3.30566107524362,3.23812271588737,10.7931620060444,10.0218034503864,9.01917585196224,8.53891845176523,8.14358036283742,7.0114217322846,6.94246213539851,5.95461904463517,5.20315661037097,5.80654469738137,4.60545603932787
"f(l)= l. 1(l<2)",1.92448252813234,2.00713433600337,2.08601822346315,1.97358849059076,2.010605915299,2.00295508211335,0.351625795946896,0.339400754637542,2.01607489055913,2.78229495629135,0.453673090793528,4.24739487581666,0.483451005522989,2.92992780420747,1.96042055544943,0.390838389911573,3.81806392651971,2.74880152562067,3.33596365130926,3.33306936735129
