"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"Hamming1",0.00560224089635854,0.0106442577030812,0.0162464985994398,0.0201680672268908,0.0252100840336134,0.0296918767507003,0.0352941176470588,0.0420168067226891,0.0476190476190476,0.0509803921568627,0.0582633053221289,0.0638655462184874,0.0694677871148459,0.0717086834733894,0.076750700280112,0.0829131652661064,0.0873949579831933,0.092436974789916,0.0974789915966387,0.100840336134454,0.104201680672269,0.110364145658263,0.113725490196078,0.118207282913165,0.120448179271709,0.125490196078431,0.129971988795518,0.132212885154062,0.136694677871148,0.140616246498599,0.141176470588235,0.143977591036415,0.14733893557423,0.150140056022409,0.153501400560224,0.157983193277311,0.161904761904762,0.163585434173669,0.169187675070028
"Jaccard",0.00801924619085806,0.0151817818617659,0.0230799840827696,0.0285714285714286,0.0355871886120996,0.0417816318486401,0.049469964664311,0.0586166471277843,0.0661736084079408,0.0706796116504854,0.080370942812983,0.0877598152424942,0.0950920245398773,0.0980091883614089,0.104540251812285,0.112462006079027,0.118181818181818,0.124575311438279,0.130925507900677,0.135135135135135,0.139325842696629,0.146960089518836,0.151097878675102,0.156586270871985,0.159318266024454,0.165435745937962,0.170839469808542,0.173529411764706,0.178885630498534,0.183546617915905,0.184210526315789,0.187522801897118,0.1914816163087,0.194767441860465,0.198694706308919,0.203904555314534,0.208438514244501,0.210374639769452,0.216798277099785
"Spanning Trees",0.00164021305982942,0.0107390831906287,0.00881135778826092,0.011918579807741,0.0338520379283977,0.0291518825187609,0.0321981693917905,0.0297385101195005,0.014146767076852,0.0116545427427468,0.032581471409685,0.035695158992155,0.0232471222339541,0.0199610326868651,0.0253613991378643,0.0222797305365248,0.0319276550509926,0.0251643066850988,0.0226924729903999,0.0364505803791531,0.0357595353056013,0.0317987242543154,0.0428059050095726,0.0488381814247418,0.0484140730969216,0.0503378455246661,0.02690636609384,0.0299843803430804,0.0367518279825276,0.0517260540582356,0.0484265514010644,0.035041805340768,0.0398613136850372,0.0463140425458732,0.0572436226935906,0.0565918065493065,0.0493753072385061,0.0329290802193896,0.0553211302927252
"Hamming",0.00560224089635854,0.0106442577030812,0.0162464985994398,0.0201680672268908,0.0252100840336134,0.0296918767507003,0.0352941176470588,0.0420168067226891,0.0476190476190476,0.0509803921568627,0.0582633053221289,0.0638655462184874,0.0694677871148459,0.0717086834733894,0.076750700280112,0.0829131652661064,0.0873949579831933,0.092436974789916,0.0974789915966387,0.100840336134454,0.104201680672269,0.110364145658263,0.113725490196078,0.118207282913165,0.120448179271709,0.125490196078431,0.129971988795518,0.132212885154062,0.136694677871148,0.140616246498599,0.141176470588235,0.143977591036415,0.14733893557423,0.150140056022409,0.153501400560224,0.157983193277311,0.161904761904762,0.163585434173669,0.169187675070028
"IM",0.000756330401052955,0.00205325141088267,0.00204015601288735,0.00210702629239684,0.00454319282192565,0.00404661603986897,0.00390955236802863,0.00346397819862981,0.00247947059301211,0.00171422173147304,0.00389416083593775,0.00425781664964081,0.00439401172593081,0.00395189838615744,0.00603405005858026,0.00429301655590365,0.00562177492527446,0.00414216354090405,0.00466842022212296,0.00619951936609436,0.0059937292561751,0.00545808305144482,0.00707724586202891,0.00764868276589813,0.00824337008485782,0.0086340016400315,0.00839253593312335,0.00889669101813875,0.00975965818738622,0.0106368215121021,0.00998080774338474,0.00904250932278502,0.00979149818715417,0.0105982579843846,0.0104078053497546,0.00998900602072525,0.00868612726095326,0.0059315372411871,0.00838416746251209
"HIM",0.00399732027340749,0.00766537877100329,0.0115782328811118,0.0143385929481459,0.0181133781774556,0.0211894153571176,0.0251093542350534,0.0298111656274322,0.0337173654855086,0.0360689543833209,0.0412902968969452,0.0452600099227105,0.0492193091463156,0.0507826386983842,0.0544384044292127,0.0587069968810956,0.0619252898022874,0.0654284029573975,0.0690070574291785,0.0714395108888639,0.0738035061678029,0.0781346124245677,0.0805716281619341,0.0837599668151989,0.0853689552478698,0.0889447449153777,0.092095473642441,0.0937000483239825,0.096903781882421,0.0997147700976019,0.100076002045848,0.102008121479375,0.104414164204135,0.10642922412269,0.108791089676841,0.111934064518756,0.114648595137994,0.115748385318828,0.119780556977418
"alpha=0.5,order=3",0.192554940572337,0.411864247078193,0.564929146180822,0.78188293364612,0.860088967054977,1.08102237943025,1.4389854054265,1.82874619262288,2.05793228113084,2.27058000792368,2.39757294903019,2.57509617225175,3.00998826293273,3.02984819869182,3.19619792171785,3.59481529699142,3.67502966840963,4.00975259668246,4.28565596021584,4.63142324994495,4.62638603790095,5.06603149740084,5.39468771278011,5.45907454956761,5.76109596878688,6.01799430796895,6.33322666934102,6.71368503311937,7.13149337658457,7.20777681598121,7.25538316939676,7.81864555847314,8.18222528101389,8.5733496580803,8.54411679433062,8.91517592424212,9.41859406869744,10.0129243758775,10.0221383333122
"alpha=0.7,order=3",0.451662687984502,0.978096943704175,1.32171888878428,1.85254364535376,2.01193845080333,2.54606585374561,3.44045719475152,4.39357157719968,4.93760179549554,5.46166645454589,5.73156745433216,6.14615289273866,7.2334290217313,7.25862279504021,7.64597745742283,8.63865694297435,8.80813379641576,9.62536811426182,10.287307494952,11.1792198307476,11.1356640459765,12.2332519344481,13.0667062623601,13.2017909474188,13.9779538655673,14.6060651288501,15.3743947072092,16.3473159745585,17.4116065335177,17.5869063547499,17.7007010117747,19.1369408217158,20.0682088980406,21.068994206437,20.9627894441409,21.8828052803868,23.1524677957236,24.6854010488949,24.6676111709516
"alpha=0.9,order=3",0.00755895216272442,0.0146053953395201,0.0220806284700229,0.0277542795223539,0.0342962366086306,0.0406362490735571,0.048799603178177,0.0585912690220725,0.0662983329615903,0.0712627432746071,0.0806022572473103,0.0881314108572021,0.0966391027317317,0.099523930375644,0.106431273884083,0.115430806827556,0.12125642785028,0.128919894572454,0.136332498986154,0.141694683406244,0.145684879590721,0.154837087369263,0.160281546915079,0.16606880398179,0.169933350830451,0.177161693149781,0.183886844904262,0.188257835049875,0.195290237768672,0.200442910530729,0.20131402203983,0.207072619404821,0.21253278284556,0.217541171593676,0.221659501740732,0.228759496475298,0.235648480329294,0.240098400507282,0.247011466606347
"ST norm",0.00082010634605381,0.00536948999107633,0.00440565038959981,0.00595921936051475,0.0169244027703514,0.0145749090883459,0.0160976939836492,0.0148681593185983,0.00707326557383248,0.00582720541320667,0.0162892947355074,0.0178456847047484,0.0116230376697713,0.00998018496787466,0.0126800199265515,0.0111394044846737,0.0159624715696197,0.0125814894219158,0.0113457496264762,0.0182232725462142,0.0178778625920641,0.0158980225308662,0.0213996849698613,0.0244142382336904,0.0242023093717221,0.0251636094836211,0.0134523714835076,0.0149910670288144,0.018373845913154,0.0258572620117089,0.0242085448682574,0.0175191100230826,0.0199280182363104,0.0231528828613286,0.0286139981672812,0.0282883539106461,0.0246826392960076,0.0164630525292194,0.0276535128752307
