"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"Hamming1",0.00336134453781513,0.00336134453781513,0.00392156862745098,0.00448179271708683,0.00504201680672269,0.00560224089635854,0.00672268907563025,0.00728291316526611,0.00784313725490196,0.00840336134453781,0.00840336134453781,0.00840336134453781,0.0100840336134454,0.0106442577030812,0.0106442577030812,0.0106442577030812,0.0112044817927171,0.0112044817927171,0.0123249299719888,0.0123249299719888,0.0117647058823529,0.0123249299719888,0.0134453781512605,0.0140056022408964,0.0140056022408964,0.0134453781512605,0.0140056022408964,0.0140056022408964,0.0145658263305322,0.0156862745098039,0.0168067226890756,0.0168067226890756,0.0179271708683473,0.0179271708683473,0.0201680672268908,0.0201680672268908,0.0201680672268908,0.0201680672268908,0.0201680672268908
"Jaccard",0.272727272727273,0.272727272727273,0.311111111111111,0.347826086956522,0.382978723404255,0.416666666666667,0.48,0.509803921568627,0.538461538461538,0.566037735849057,0.566037735849057,0.566037735849057,0.642857142857143,0.666666666666667,0.666666666666667,0.666666666666667,0.689655172413793,0.689655172413793,0.733333333333333,0.733333333333333,0.711864406779661,0.733333333333333,0.774193548387097,0.793650793650794,0.793650793650794,0.774193548387097,0.793650793650794,0.793650793650794,0.8125,0.848484848484849,0.882352941176471,0.882352941176471,0.914285714285714,0.914285714285714,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973
"Spanning Trees",0.538668937423143,0.538668937423143,0.881975040085059,0.797370505041574,0.89933254734612,1.00682316473248,1.57029250291318,1.78520041129227,1.22381671992547,0.796341779145553,0.525784112463437,0.525784112463437,1.26795477296621,0.542456656619617,0.838707784842214,0.838707784842214,1.11073962256319,1.03082589293962,0.452030684617593,0.655396224869637,1.80437197466518,0.385274031323302,1.09093814657079,1.09846468127216,1.09846468127216,1.38554561127011,1.58377001426957,1.56440796125427,1.06104212169275,0.249844564576268,0.44016631799456,0.424544253209607,1.10634945353693,2.14836722005833,3.0716729047367,2.97501395594238,2.97501395594238,2.97501395594238,2.69616185695156
"Hamming",0.0341880341880342,0.0341880341880342,0.0398860398860399,0.0455840455840456,0.0512820512820513,0.056980056980057,0.0683760683760684,0.0740740740740741,0.0797720797720798,0.0854700854700855,0.0854700854700855,0.0854700854700855,0.102564102564103,0.108262108262108,0.108262108262108,0.108262108262108,0.113960113960114,0.113960113960114,0.125356125356125,0.125356125356125,0.11965811965812,0.125356125356125,0.136752136752137,0.142450142450142,0.142450142450142,0.136752136752137,0.142450142450142,0.142450142450142,0.148148148148148,0.15954415954416,0.170940170940171,0.170940170940171,0.182336182336182,0.182336182336182,0.205128205128205,0.205128205128205,0.205128205128205,0.205128205128205,0.205128205128205
"IM",0.0144073426407831,0.0144073426407831,0.0208422677665978,0.0238794607873339,0.0273455364541016,0.0274476521505125,0.0406645895263076,0.0395363865971618,0.0387933714796973,0.0237158200425735,0.0261900908799642,0.0261900908799642,0.0364151522016856,0.044443359557412,0.03983545726912,0.03983545726912,0.04205219491581,0.0403788137696541,0.0525989700159383,0.0532764764862132,0.0459198061300631,0.0526181912211922,0.0490810710935162,0.0495562095646687,0.0495562095646687,0.0517554865583715,0.0534068597911413,0.0554112966710394,0.0569997958966043,0.0348135849027985,0.0304225427642773,0.0287686753842084,0.0365221929882038,0.047637629891815,0.0686531829851598,0.0659137674010142,0.0659137674010142,0.0659137674010142,0.0627262615896195
"HIM",0.0262335015162971,0.0262335015162971,0.0318221330479693,0.0363877304822805,0.0410951770142041,0.0447219213698722,0.0562534246420245,0.0593721075720395,0.0627236414038792,0.0627199156191853,0.0632101905176867,0.0632101905176867,0.0769592698921049,0.0827523301608658,0.0815706679548364,0.0815706679548364,0.0858932321869408,0.0854908070357468,0.0961270248448328,0.0963133975911105,0.0906275184343571,0.0961322844097928,0.102737769213571,0.106648631005005,0.106648631005005,0.103391917709193,0.107574011166305,0.108079727245288,0.112242706961255,0.115469313106203,0.122772295631586,0.122572792095997,0.131492117576684,0.133258821791736,0.15295561459638,0.152351903946282,0.152351903946282,0.152351903946282,0.151677560028055
"alpha=0.5,order=3",0.102273861652168,0.102273861652168,0.119469649872691,0.138406935297474,0.153731090026508,0.173686257842462,0.207013075704015,0.223075219844755,0.237718190614369,0.267933838191484,0.265351147764354,0.265351147764354,0.307270881681487,0.32827868694567,0.328294817760465,0.328294817760465,0.344748348368076,0.348264343484015,0.385366371136003,0.381207471136056,0.363753728798529,0.378388356694104,0.411625062073072,0.430507010079375,0.430507010079375,0.415339203330624,0.437142321916834,0.438154508484946,0.446783940534162,0.496027122643853,0.522842841278927,0.538987126733949,0.58230642496501,0.584519812441367,0.645984777649915,0.641318763551643,0.641318763551643,0.641318763551643,0.638812776281854
"alpha=0.7,order=3",0.0599609020746864,0.0599609020746864,0.0700592888378531,0.0807414151965364,0.0901318017700374,0.101150469777493,0.120929072295001,0.130661838029286,0.139948656689277,0.154800623472367,0.153908759174694,0.153908759174694,0.18086354233744,0.192240768093623,0.192273066344195,0.192273066344195,0.20220850841496,0.203444684556159,0.224613343107041,0.223100059600267,0.212820712774236,0.222206392191844,0.242090041152308,0.252869640997616,0.252869640997616,0.243412677179663,0.255198920816116,0.255525010580707,0.262542614077616,0.288375062688599,0.305916232105595,0.311698140021873,0.335438664471114,0.33621462650448,0.374327403474905,0.372679231693895,0.372679231693895,0.372679231693895,0.371765401110742
"alpha=0.9,order=3",0.0433559854718402,0.0433559854718402,0.050677207797324,0.0580957296720911,0.0651069480125984,0.0724893917065161,0.0869625463160878,0.0941417468120565,0.101370750898173,0.110101217866444,0.109856299695649,0.109856299695649,0.130705692842734,0.138307825964111,0.138333024017771,0.138333024017771,0.14556843730382,0.145955962813072,0.160831847406069,0.160210759633417,0.152792124269292,0.160086805193076,0.17446317921677,0.181956682385991,0.181956682385991,0.174831799965463,0.182676345936741,0.182723258787173,0.189049075503323,0.205155693209087,0.218928044281035,0.220384034053381,0.235993077173975,0.23619504169709,0.264632688475141,0.264210959121284,0.264210959121284,0.264210959121284,0.263915191395252
"ST norm",0.263005448732803,0.263005448732803,0.414462661353438,0.37882345173253,0.421624643179324,0.464795954824729,0.655650605742181,0.712675648543005,0.545469047381265,0.37838281775499,0.256998575066174,0.256998575066174,0.560784875501725,0.264767426788852,0.396385981555806,0.396385981555806,0.504533948465907,0.474151962147928,0.222243877589994,0.316450914492432,0.717360599648773,0.190289005512002,0.497116679110424,0.499944645183922,0.499944645183922,0.599760346227049,0.659475562926627,0.653969914204195,0.485779291477986,0.12427648512137,0.21659732056334,0.209140273524433,0.502895821018442,0.791032202336566,0.911418078518135,0.902864981079704,0.902864981079704,0.902864981079704,0.873599567302403
