"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"Hamming1",0.000560224089635854,0.00224089635854342,0.00504201680672269,0.00840336134453781,0.00952380952380952,0.0117647058823529,0.0123249299719888,0.0145658263305322,0.0156862745098039,0.0168067226890756,0.0179271708683473,0.0184873949579832,0.019047619047619,0.0207282913165266,0.0224089635854342,0.0246498599439776,0.0252100840336134,0.0257703081232493,0.0257703081232493,0.0263305322128852,0.0280112044817927,0.0285714285714286,0.0285714285714286,0.0302521008403361,0.0313725490196078,0.0330532212885154,0.0336134453781513,0.0336134453781513,0.0336134453781513,0.034733893557423,0.0352941176470588,0.0375350140056022,0.0375350140056022,0.0380952380952381,0.0380952380952381,0.038655462184874,0.0392156862745098,0.0392156862745098,0.0408963585434174
"Jaccard",0.0235294117647059,0.0909090909090909,0.193548387096774,0.303030303030303,0.336633663366337,0.4,0.415094339622642,0.472727272727273,0.5,0.526315789473684,0.551724137931034,0.564102564102564,0.576271186440678,0.611570247933884,0.645161290322581,0.6875,0.697674418604651,0.707692307692308,0.707692307692308,0.717557251908397,0.746268656716418,0.755555555555556,0.755555555555556,0.782608695652174,0.8,0.825174825174825,0.833333333333333,0.833333333333333,0.833333333333333,0.849315068493151,0.857142857142857,0.887417218543046,0.887417218543046,0.894736842105263,0.894736842105263,0.901960784313726,0.909090909090909,0.909090909090909,0.929936305732484
"Spanning Trees",2.19722457733624,6.59441345974976,10.1811950438407,12.7769985183591,15.7440959244719,16.1293463241187,18.0229876553048,21.4535012734921,21.273768417463,21.5241975911601,19.5610056064572,19.0034271726218,17.6252426428145,18.2664017608945,17.6050777070951,19.8721895352318,21.9176274432262,20.5786697714031,25.7385570042046,24.0062925007382,24.9989405015645,25.8093610087806,25.5269306730892,26.0076803625466,26.7014100811865,26.6426543461668,28.193314982765,27.6281190668827,27.426804829682,26.4463786050694,25.6055648901,27.1386872842206,26.5029092890448,28.6485457647876,29.0678918165665,27.9784563263118,26.9725510550589,27.4742737880228,28.184696176626
"Hamming",0.000560224089635854,0.00224089635854342,0.00504201680672269,0.00840336134453781,0.00952380952380952,0.0117647058823529,0.0123249299719888,0.0145658263305322,0.0156862745098039,0.0168067226890756,0.0179271708683473,0.0184873949579832,0.019047619047619,0.0207282913165266,0.0224089635854342,0.0246498599439776,0.0252100840336134,0.0257703081232493,0.0257703081232493,0.0263305322128852,0.0280112044817927,0.0285714285714286,0.0285714285714286,0.0302521008403361,0.0313725490196078,0.0330532212885154,0.0336134453781513,0.0336134453781513,0.0336134453781513,0.034733893557423,0.0352941176470588,0.0375350140056022,0.0375350140056022,0.0380952380952381,0.0380952380952381,0.038655462184874,0.0392156862745098,0.0392156862745098,0.0408963585434174
"IM",0.00528886230752256,0.0128902789039342,0.025488799665049,0.0333697914707234,0.0376236016350306,0.045132908122371,0.0478767124931123,0.0546891029980576,0.0590532133517837,0.0574680479747828,0.0490913765066575,0.0499834572326484,0.0505920395288573,0.0578141035672512,0.0522406181333467,0.0609009729750761,0.0708426448662012,0.0662606385782134,0.0802982663542345,0.0737940948371529,0.0811109101707408,0.0797304529601836,0.0797513221436528,0.0818991619010135,0.0835281648281399,0.0776707237547391,0.0818175156687457,0.0828987177479956,0.0816230599379987,0.0822384152029073,0.0778847796159879,0.0889669612657905,0.083856357035455,0.0840218599200945,0.0833832708265851,0.0796854492211059,0.0792090352487198,0.0778826614366368,0.0739038330011491
"HIM",0.00376071240182902,0.00925151086879715,0.0183725453033089,0.0243326885555875,0.0274430168516262,0.0329802039114425,0.0349577137264622,0.0400191284476772,0.0432049835966189,0.042338177013066,0.0369550179452083,0.0376837482826513,0.0382254251452661,0.0434288650104262,0.0401947996134293,0.0464572066775902,0.0531706153275498,0.0502721642937711,0.0596318721836855,0.0554024609536819,0.0606778679802067,0.0598885283666593,0.0599024202944795,0.0617359794825606,0.0630919612611013,0.0596877573968589,0.0625458614953676,0.0632536999489034,0.0624186976147055,0.0631252734518598,0.0604636818111312,0.0682788308089317,0.0649644744905185,0.0652338873207969,0.0648229011201771,0.0626259354193439,0.0624977652201009,0.0616586530927921,0.0597255752352938
"alpha=0.5,order=3",0.000967161267828965,0.00400071659149004,0.00936024039739307,0.0150265462903221,0.0168534779614146,0.020720957308337,0.021495835763265,0.025320058699218,0.0273339448596287,0.0292855481291977,0.0311186601931217,0.0318212774081787,0.0330853954335077,0.0366786157422886,0.0395063544239079,0.043204927900037,0.0437743515348676,0.0448156641576924,0.0446824488649118,0.0457921230808229,0.0493805940593695,0.0504095745729579,0.050361732308963,0.0534279146606997,0.0553160316960805,0.0580792660398066,0.0589641498980444,0.0589462903840107,0.0590736125520557,0.061185682545638,0.0623455432547943,0.0664606840265595,0.0662084600594109,0.0671043514674485,0.0673080549693271,0.0679641834089836,0.0690880736808758,0.0688700463752711,0.0720371138609989
"alpha=0.7,order=3",0.000690994583678716,0.00278215544621872,0.00636542932965179,0.0104573811900248,0.0118054047567787,0.01455029534019,0.0151817925630481,0.0179297503321046,0.0193272360523371,0.020712712158278,0.0220626726042541,0.0226784254743588,0.0234350885387166,0.0256902856415492,0.0277552677623415,0.0304600128218167,0.0310286382472971,0.0317401552702978,0.0317016857182197,0.0324201688365639,0.0346693416578295,0.0353836379685529,0.0353698616426967,0.0374770709700216,0.0388478662386351,0.0408891494918825,0.0415478994363298,0.0415449258612877,0.0415803876729344,0.0430136601000771,0.0437568246440764,0.0465826146281551,0.0465108946073914,0.0471985586574325,0.0472615980425525,0.0478597666643165,0.0485876820328533,0.0485330519038142,0.0506799439876141
"alpha=0.9,order=3",0.000604504370948381,0.00241919016077356,0.00547902016194774,0.00908387295606083,0.0102807106865339,0.0126871366079318,0.0132704553548,0.015681917376099,0.0168942034673719,0.0181039730009786,0.0193011254846088,0.0198801988230366,0.020501901718494,0.0223715485201244,0.0241853609492642,0.0265804375964692,0.0271415623839313,0.0277524536578617,0.0277399029758222,0.0283501238462531,0.030216402773422,0.0308299485265607,0.0308253782547067,0.032646575076207,0.0338520937701374,0.0356568578838375,0.0362482001623527,0.0362477252708984,0.0362593073197147,0.037485366746275,0.0381063514192663,0.0405420778563926,0.0405185169290251,0.0411259081609659,0.0411479490102331,0.041720401193843,0.0423350882205762,0.0423189569989519,0.0441557346245558
"ST norm",0.800000000000004,0.997267759562841,0.99992425103208,0.999994349995198,0.999999709292692,0.999999802237544,0.999999970232257,0.999999999036409,0.99999999884668,0.999999999102179,0.999999993605697,0.999999988832745,0.999999955691774,0.999999976663673,0.999999954789232,0.999999995315667,0.999999999394205,0.999999997688855,0.999999999986729,0.999999999924971,0.999999999972195,0.999999999987636,0.999999999983601,0.99999999998986,0.999999999994933,0.999999999994626,0.99999999999886,0.999999999997994,0.999999999997547,0.999999999993461,0.999999999984841,0.999999999996728,0.99999999999382,0.999999999999277,0.999999999999525,0.999999999998587,0.999999999996136,0.999999999997661,0.99999999999885
