"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"Hamming1",0.00504201680672269,0.0123249299719888,0.019047619047619,0.0252100840336134,0.0291316526610644,0.0319327731092437,0.0341736694677871,0.038655462184874,0.0408963585434174,0.0459383753501401,0.0515406162464986,0.0554621848739496,0.0593837535014006,0.0633053221288515,0.0666666666666667,0.0700280112044818,0.0750700280112045,0.0784313725490196,0.0817927170868347,0.0859943977591036,0.0904761904761905,0.0949579831932773,0.0983193277310924,0.0994397759103641,0.102240896358543,0.105602240896359,0.107843137254902,0.111764705882353,0.113445378151261,0.117927170868347,0.121288515406162,0.126890756302521,0.130252100840336,0.131932773109244,0.133613445378151,0.136974789915966,0.139775910364146,0.141456582633053,0.142577030812325
"Jaccard",0.0337078651685393,0.0804387568555759,0.121645796064401,0.157894736842105,0.180242634315425,0.195876288659794,0.208191126279863,0.232323232323232,0.244147157190635,0.270181219110379,0.298217179902755,0.317307692307692,0.335974643423138,0.35423197492163,0.369565217391304,0.384615384615385,0.406676783004552,0.421052631578947,0.435171385991058,0.452802359882006,0.470845481049563,0.488472622478386,0.501428571428571,0.505698005698006,0.516265912305516,0.52875175315568,0.536959553695955,0.551104972375691,0.557083906464924,0.572789115646258,0.584345479082321,0.603195739014647,0.614266842800528,0.619736842105263,0.625163826998689,0.635890767230169,0.644702842377261,0.64993564993565,0.653401797175867
"Spanning Trees",0.689405447024114,1.41238205679232,1.95441850631209,2.07027718384668,2.10156246482387,2.14016084969356,2.16778750835689,1.96065677769917,1.84816056517715,1.59574721064385,1.53335855447756,1.60689326607255,1.50795695949739,1.8976719659525,1.74532745708149,2.0344627097721,1.92647846225179,1.86898105717106,1.91082717778747,1.74300207508335,1.83723929443488,1.96097319911706,2.03368185897003,1.82713271258331,1.89964358667396,1.93348637710113,1.80661603367,1.05759222386794,1.26870177386843,1.3684794743524,1.38733062968646,1.44079708038896,1.32715025493886,1.42431335483784,1.46687289526398,1.31948112544012,1.30668655724284,1.18834657775611,1.38168122340488
"Hamming",0.00504201680672269,0.0123249299719888,0.019047619047619,0.0252100840336134,0.0291316526610644,0.0319327731092437,0.0341736694677871,0.038655462184874,0.0408963585434174,0.0459383753501401,0.0515406162464986,0.0554621848739496,0.0593837535014006,0.0633053221288515,0.0666666666666667,0.0700280112044818,0.0750700280112045,0.0784313725490196,0.0817927170868347,0.0859943977591036,0.0904761904761905,0.0949579831932773,0.0983193277310924,0.0994397759103641,0.102240896358543,0.105602240896359,0.107843137254902,0.111764705882353,0.113445378151261,0.117927170868347,0.121288515406162,0.126890756302521,0.130252100840336,0.131932773109244,0.133613445378151,0.136974789915966,0.139775910364146,0.141456582633053,0.142577030812325
"IM",0.00233731427987773,0.00510190550790906,0.00695234612463228,0.00690569256260382,0.00773247554606728,0.00724119743063623,0.00903356117284971,0.0126004180669823,0.0147056552338286,0.0198807630760968,0.0232472111306361,0.023193293866664,0.0270350774311793,0.0253028357598667,0.0292501996682052,0.0268640695447094,0.0297561413030024,0.0292488553767791,0.0284716256004825,0.0296601805047628,0.0302025143840894,0.0313500135430718,0.0303757726005631,0.0341245658182955,0.0347334698343791,0.0345502408627232,0.0362687219939282,0.0383348866317199,0.0382575234745746,0.0414670683296958,0.0404953699659794,0.0430327920354301,0.0468660940551575,0.0451057814176908,0.0452647415749987,0.0509426839287002,0.0496900388755879,0.0488810530553477,0.048567602080246
"HIM",0.00392969283291929,0.00943221444375764,0.0143378329607356,0.0184829235613722,0.0213124888836972,0.0231531524708396,0.0249944485071904,0.0287490460032064,0.0307308349867684,0.0353947670588341,0.0399804198853714,0.0425087216426088,0.0461374337800932,0.0482068320226939,0.0514782411562124,0.0530358397018375,0.0571005124795184,0.0591902683757003,0.0612400278934499,0.0643224795601275,0.0674467675956566,0.0707101192237912,0.0727646128505302,0.0743396093122321,0.0763531754903951,0.0785670173355357,0.0804535967128023,0.0835491263091233,0.0846566356710746,0.0883921246064152,0.0904178603985752,0.0947446178560829,0.0978826862762459,0.0985920588526167,0.0997533197835331,0.103337433000783,0.104896151220107,0.105828451084814,0.106505919288751
"alpha=0.5,order=3",0.0182034696873914,0.0481825320780973,0.08445500826281,0.11846554451487,0.138281008779014,0.1518428682143,0.172040778823618,0.192922661579916,0.199698396170252,0.232550197726639,0.268615170911038,0.30097111246569,0.320136415457165,0.344025287038262,0.377074751144562,0.39767337476048,0.433524591315432,0.457739242022549,0.477854929467537,0.507084489636243,0.545977475219333,0.572408272034015,0.587613051114195,0.608529518114252,0.626343008962052,0.647526008776731,0.65548072273074,0.678420553026898,0.686456776822812,0.717976890779986,0.746901120877359,0.785082236723365,0.813020197030466,0.818585055980044,0.824101399462861,0.860103693232912,0.877340419224546,0.886262595617039,0.89704733825163
"alpha=0.7,order=3",0.00837643062924118,0.0212361015302664,0.0349651371732544,0.0476811937788377,0.0553647349906873,0.0607404556988279,0.0669612680769658,0.0753724741808772,0.078852448682203,0.0902368081320421,0.102770899037051,0.112964066873856,0.120552209357032,0.128955848115976,0.13891478367116,0.146156699582183,0.158003984100891,0.16603267542408,0.173231522934416,0.182950729414555,0.195115214458286,0.204600883827946,0.210899387134344,0.216185574723162,0.222334577932359,0.229796579142662,0.233499216013408,0.241773258580073,0.244938530097361,0.255409411911074,0.26429340754969,0.27744268450642,0.286464829058948,0.289110016214684,0.291792138105357,0.302345318146934,0.308516501974307,0.311907298893915,0.315133975983553
"alpha=0.9,order=3",0.00592642338869858,0.0145346375857897,0.022666871737811,0.0302587024917888,0.0349993920111572,0.0383266929918521,0.0412135452399491,0.0465680731601686,0.0491782339717632,0.055390707988467,0.0623437054322195,0.0674008919651637,0.0721478575517527,0.0770077934506987,0.0815556048578303,0.0856864993357909,0.0920168183921224,0.0963340053083023,0.10055539615016,0.105827064340296,0.111766875060212,0.117263452593255,0.121343761239972,0.123122659745206,0.126581959056476,0.130757248326514,0.133398341024323,0.138185488988261,0.140187501291258,0.145819089257598,0.150224331025346,0.157430522189564,0.161848799462766,0.163830449678943,0.165759898788153,0.170485504696648,0.174024446422334,0.176087182437637,0.177590260028057
"ST norm",0.331669304867001,0.608282769361688,0.751855272462328,0.775961072382775,0.782109898767075,0.789491519171101,0.794638584998007,0.753208026539429,0.72782197517063,0.662846319206699,0.644994358986367,0.665959220770321,0.637516461928328,0.739255622338442,0.702724976089014,0.768736445594146,0.745718252649736,0.732680666525254,0.742224096907607,0.702135966954609,0.725243752745011,0.75327647262316,0.768576696380082,0.722839593744318,0.739702362732052,0.747269614371394,0.717904787534012,0.484460294694056,0.561040864022191,0.594268757379233,0.600331502853841,0.617156107111754,0.580737725689168,0.612027447835457,0.625163232291283,0.578190732727444,0.573916337602558,0.532890441130146,0.598521752745301
