"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.28535180426214,0.187865470626435,0.189298516814693,0.246216449361425,0.266056887545073,0.258672209014813,0.162200109712595,0.278172265092308,0.210915942133559,0.185347825271104,0.151473930926273,0.235966785532408,0.146333775698279,0.141758723350188,0.220591543141439,0.272035554647913,0.128429638391911,0.185030573157985,0.221825857311625,0.27064491550339
"D1st Cp",0.28535180426214,0,0.287195232065156,0.318945587407736,0.281911017691922,0.316997203287846,0.327089810087198,0.320233163881757,0.336164710671397,0.248779640515627,0.264305039370503,0.292617334871753,0.30357187799902,0.271940750116045,0.301500870989543,0.237002441662571,0.301193579423624,0.272146416544189,0.296315303915504,0.221264979418557,0.339084366065594
"D1st WPC",0.187865470626435,0.287195232065156,0,0.263052504964077,0.211390084682709,0.294982769329258,0.283324139461769,0.23463636129083,0.306469277276523,0.197268747582502,0.244739433530544,0.176454223610242,0.268342164866239,0.174195730805351,0.223531021250331,0.199204637890452,0.286630006360302,0.210972607768615,0.197195717993773,0.207390305489024,0.284375771320411
"DInterim",0.189298516814693,0.318945587407736,0.263052504964077,0,0.305328194985613,0.254344123402956,0.244443917816387,0.199764278906065,0.299724017251777,0.277673405574056,0.20020285926844,0.212818716087009,0.204469527159584,0.200439813037778,0.129482120733139,0.291623680401562,0.273321264770662,0.108908944491413,0.238522733696102,0.280969644564068,0.262622605951197
"D2nd Cp",0.246216449361425,0.281911017691922,0.211390084682709,0.305328194985613,0,0.293564359123819,0.301717293092004,0.298379542934582,0.339488078164673,0.213048498968958,0.288359138663695,0.229385056120527,0.268215207910897,0.214912053645829,0.280420573969289,0.21044405558192,0.268256183895285,0.25879481583521,0.240166446187525,0.203157226509968,0.287355507407252
"D2nd WPC",0.266056887545073,0.316997203287846,0.294982769329258,0.254344123402956,0.293564359123819,0,0.15983692750145,0.344473597570732,0.373808205801303,0.312162181697747,0.330523355171455,0.272487736559455,0.138614373665973,0.272284887080599,0.288529436840088,0.289219467825611,0.142036428736571,0.252051669316228,0.241923854416454,0.273111730046384,0.194775187736066
"DPost Cp",0.258672209014813,0.327089810087198,0.283324139461769,0.244443917816387,0.301717293092004,0.15983692750145,0,0.330476049463147,0.368472073035297,0.30141590963951,0.323950508219791,0.258668131083101,0.149089850818473,0.261974245506278,0.273628500459333,0.281090427479101,0.152457607308861,0.242737263061256,0.224915946090204,0.27780640372823,0.184748317845201
"EPre Cp",0.162200109712595,0.320233163881757,0.23463636129083,0.199764278906065,0.298379542934582,0.344473597570732,0.330476049463147,0,0.310022742394954,0.269432110322563,0.187142998021761,0.208305402964835,0.337189433536264,0.207694125448342,0.136192099004016,0.2843767272357,0.362200189757118,0.169180011878692,0.249887021004301,0.290327688053725,0.340695244446988
"E1st Cp",0.278172265092308,0.336164710671397,0.306469277276523,0.299724017251777,0.339488078164673,0.373808205801303,0.368472073035297,0.310022742394954,0,0.325953126752129,0.273752014670967,0.339945547344049,0.397330316085862,0.325436416713914,0.284704104427721,0.323770440228754,0.384119921021946,0.274038108667324,0.335968609499835,0.31582937949874,0.397636050830298
"E1st WPC",0.210915942133559,0.248779640515627,0.197268747582502,0.277673405574056,0.213048498968958,0.312162181697747,0.30141590963951,0.269432110322563,0.325953126752129,0,0.246715514273438,0.243519096041235,0.350390342281042,0.232000793910411,0.253130414505632,0.191252706854518,0.322645846726828,0.241305342464539,0.240197855213063,0.193508963454658,0.322374863467601
