"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.371892473840309,0.327327182630352,0.288511363770364,0.338953681657648,0.291529551258146,0.326952477947537,0.250086549426237,0.369373348785053,0.318732031430925,0.239594737668281,0.324501802080279,0.277670767812327,0.308150227396402,0.261748423084946,0.312107355153827,0.275619083327768,0.230313130663137,0.322357416182765,0.291423901554507,0.322517061385389
"D1st Cp",0.371892473840309,0,0.420028848365047,0.336108952836717,0.451701949982485,0.425401949113986,0.465705516557481,0.295755244024967,0.458001074848598,0.431768762687966,0.274205853730702,0.42757189372912,0.398609979049238,0.404109083849564,0.313385178741881,0.418535065255078,0.399493925882641,0.275702959432161,0.446714583614362,0.391915629843626,0.467730943946112
"D1st WPC",0.327327182630352,0.420028848365047,0,0.284477892175015,0.377121087463663,0.356634181766074,0.381392475008977,0.269616630933321,0.408191511431605,0.375381241336527,0.256275332395256,0.37204567247502,0.329071674120156,0.360718968179582,0.277746122907605,0.366140136035172,0.337958261333678,0.249419418415398,0.375646743394472,0.345987766463503,0.382918259777462
"DInterim",0.288511363770364,0.336108952836717,0.284477892175015,0,0.301080669603845,0.247426332520773,0.272988273899801,0.2281563715314,0.332354076919114,0.274815233221841,0.220945254060202,0.283795209583651,0.237666733326861,0.273296916798967,0.235713117084765,0.277151249174841,0.228364419822242,0.209201797121937,0.277459021206236,0.258360682441254,0.268358258502288
"D2nd Cp",0.338953681657648,0.451701949982485,0.377121087463663,0.301080669603845,0,0.385615201253898,0.453384107158221,0.269803901263201,0.429824143634741,0.389915964915443,0.252840446471958,0.388818487988004,0.35432679430311,0.377377599152255,0.291162014884509,0.398149734045473,0.351084083596726,0.251784439791256,0.414614148118836,0.356376688240088,0.43230381729872
"D2nd WPC",0.291529551258146,0.425401949113986,0.356634181766074,0.247426332520773,0.385615201253898,0,0.361828173166629,0.24708547914446,0.418400333025112,0.374817282857394,0.230929751375629,0.34488994136598,0.295407450786777,0.338741478874464,0.255867118400135,0.362610404445998,0.304710734481326,0.221156254739723,0.361634315397433,0.321263455578617,0.346791349301996
"DPost Cp",0.326952477947537,0.465705516557481,0.381392475008977,0.272988273899801,0.453384107158221,0.361828173166629,0,0.264858623678068,0.424244503958427,0.381805084150743,0.244931309710524,0.373313955840182,0.330268019570201,0.376406993736637,0.27690915199909,0.371324590468517,0.322429932237458,0.235510975460522,0.391892893687932,0.354574383212628,0.400739606820598
"EPre Cp",0.250086549426237,0.295755244024967,0.269616630933321,0.2281563715314,0.269803901263201,0.24708547914446,0.264858623678068,0,0.374981069631929,0.320211616261899,0.283108069773994,0.343063553974075,0.299344282660947,0.344002483409151,0.24798081897401,0.279913022033074,0.257718430716693,0.232583605392958,0.287756408561721,0.272339213456891,0.284959589900607
"E1st Cp",0.369373348785053,0.458001074848598,0.408191511431605,0.332354076919114,0.429824143634741,0.418400333025112,0.424244503958427,0.374981069631929,0,0.463647349023284,0.347778948445997,0.48689409660062,0.489391235864231,0.47839233232705,0.341410024399283,0.436205793892725,0.425098571181626,0.322215600041286,0.443317240377034,0.410786862368615,0.465616448689002
"E1st WPC",0.318732031430925,0.431768762687966,0.375381241336527,0.274815233221841,0.389915964915443,0.374817282857394,0.381805084150743,0.320211616261899,0.463647349023284,0,0.293327843977561,0.453980678558402,0.460889119213514,0.441201385483057,0.289771518881136,0.395426675469441,0.395042677661116,0.268639993915455,0.399503150356682,0.371266671701779,0.417153544048538
"EInterim",0.239594737668281,0.274205853730702,0.256275332395256,0.220945254060202,0.252840446471958,0.230929751375629,0.244931309710524,0.283108069773994,0.347778948445997,0.293327843977561,0,0.310599461187509,0.269848950032363,0.314281515503676,0.238286897969137,0.262717830619734,0.239423143763865,0.227713541875307,0.272096297749149,0.258814292269792,0.265289991716391
"E2nd Cp",0.324501802080279,0.42757189372912,0.37204567247502,0.283795209583651,0.388818487988004,0.34488994136598,0.373313955840182,0.343063553974075,0.48689409660062,0.453980678558402,0.310599461187509,0,0.446209977332125,0.478420515838557,0.303984129148757,0.394224319271071,0.362310539907776,0.271742738395648,0.407506273656303,0.376007776319155,0.425151376389373
"E2nd WPC",0.277670767812327,0.398609979049238,0.329071674120156,0.237666733326861,0.35432679430311,0.295407450786777,0.330268019570201,0.299344282660947,0.489391235864231,0.460889119213514,0.269848950032363,0.446209977332125,0,0.43416316041872,0.267717537653232,0.366626099736066,0.313937362855338,0.23620092450703,0.369575187161051,0.340242102396512,0.378863539696439
"EPost Cp",0.308150227396402,0.404109083849564,0.360718968179582,0.273296916798967,0.377377599152255,0.338741478874464,0.376406993736637,0.344002483409151,0.47839233232705,0.441201385483057,0.314281515503676,0.478420515838557,0.43416316041872,0,0.294919904643917,0.374936327570805,0.363825900838574,0.274852525556187,0.396973690559747,0.377117643516408,0.41078153682916
"FPre Cp",0.261748423084946,0.313385178741881,0.277746122907605,0.235713117084765,0.291162014884509,0.255867118400135,0.27690915199909,0.24798081897401,0.341410024399283,0.289771518881136,0.238286897969137,0.303984129148757,0.267717537653232,0.294919904643917,0,0.342377119210566,0.285914111155165,0.258852166499341,0.339076142962258,0.316038261775084,0.329726952193172
"F1st Cp",0.312107355153827,0.418535065255078,0.366140136035172,0.277151249174841,0.398149734045473,0.362610404445998,0.371324590468517,0.279913022033074,0.436205793892725,0.395426675469441,0.262717830619734,0.394224319271071,0.366626099736066,0.374936327570805,0.342377119210566,0,0.420770728881748,0.285561217683062,0.470042999135521,0.410829807629115,0.493342670532299
"F1st WPC",0.275619083327768,0.399493925882641,0.337958261333678,0.228364419822242,0.351084083596726,0.304710734481326,0.322429932237458,0.257718430716693,0.425098571181626,0.395042677661116,0.239423143763865,0.362310539907776,0.313937362855338,0.363825900838574,0.285914111155165,0.420770728881748,0,0.255225620991401,0.460422350393662,0.405352840892296,0.438502050884387
"FInterim",0.230313130663137,0.275702959432161,0.249419418415398,0.209201797121937,0.251784439791256,0.221156254739723,0.235510975460522,0.232583605392958,0.322215600041286,0.268639993915455,0.227713541875307,0.271742738395648,0.23620092450703,0.274852525556187,0.258852166499341,0.285561217683062,0.255225620991401,0,0.316628961627491,0.309086688230196,0.301035826690924
"F2nd Cp",0.322357416182765,0.446714583614362,0.375646743394472,0.277459021206236,0.414614148118836,0.361634315397433,0.391892893687932,0.287756408561721,0.443317240377034,0.399503150356682,0.272096297749149,0.407506273656303,0.369575187161051,0.396973690559747,0.339076142962258,0.470042999135521,0.460422350393662,0.316628961627491,0,0.511214332429105,0.576865523753055
"F2nd WPC",0.291423901554507,0.391915629843626,0.345987766463503,0.258360682441254,0.356376688240088,0.321263455578617,0.354574383212628,0.272339213456891,0.410786862368615,0.371266671701779,0.258814292269792,0.376007776319155,0.340242102396512,0.377117643516408,0.316038261775084,0.410829807629115,0.405352840892296,0.309086688230196,0.511214332429105,0,0.488372798007082
"FPost Cp",0.322517061385389,0.467730943946112,0.382918259777462,0.268358258502288,0.43230381729872,0.346791349301996,0.400739606820598,0.284959589900607,0.465616448689002,0.417153544048538,0.265289991716391,0.425151376389373,0.378863539696439,0.41078153682916,0.329726952193172,0.493342670532299,0.438502050884387,0.301035826690924,0.576865523753055,0.488372798007082,0
