"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.233546755036804,0.208292557873887,0.172809588949788,0.218876736688863,0.179408623043883,0.197944062047548,0.142996772050936,0.261881267558882,0.198111171495026,0.156846101701812,0.186308529137762,0.16241182575083,0.174678056682612,0.148177270705619,0.197680724330061,0.168649425887249,0.139449030296636,0.184587122426923,0.19273930757363,0.185557089856761
"D1st Cp",0.233546755036804,0,0.287719916044057,0.210492456944415,0.306731965166206,0.290871888461999,0.30929109514692,0.178008398234745,0.335509768024431,0.285072427519466,0.185944730757694,0.260162790495136,0.255610807069016,0.243264484842198,0.184874479998259,0.278482092720728,0.27020092130666,0.17591830715743,0.268663661715189,0.275868341467625,0.290755049750206
"D1st WPC",0.208292557873887,0.287719916044057,0,0.176392503913247,0.262442621645575,0.239104905254773,0.249857672720444,0.16011857216822,0.296991518213343,0.244210256593124,0.173858780979343,0.221352246196943,0.208184034402134,0.213500752267249,0.164046472754711,0.249816162778414,0.229030742607715,0.159432969095331,0.226712427995505,0.247597643850561,0.239326150892999
"DInterim",0.172809588949788,0.210492456944415,0.176392503913247,0,0.189840130623677,0.144980536659187,0.157181422258586,0.12865815668591,0.234205193829764,0.167547835343203,0.142992965263927,0.158720175100926,0.134297161132448,0.150966962462424,0.131481239373067,0.172154384955886,0.134730523872826,0.124579329541456,0.155809133224138,0.168762932250456,0.149588448027319
"D2nd Cp",0.218876736688863,0.306731965166206,0.262442621645575,0.189840130623677,0,0.271907164676881,0.301912589748145,0.161981880456924,0.321299222961343,0.258425157956535,0.173342951179614,0.234731985550231,0.227736225736454,0.224391584301649,0.172603319835961,0.276455605834924,0.245533595296114,0.163475785616353,0.255070440766891,0.264337716769561,0.27223636174764
"D2nd WPC",0.179408623043883,0.290871888461999,0.239104905254773,0.144980536659187,0.271907164676881,0,0.211905464223919,0.139270219409842,0.306304079846157,0.232998325072759,0.153264882455381,0.19216703047269,0.16542647762568,0.186202259135921,0.141998883087422,0.241970906618462,0.187541106329331,0.133796299225374,0.199145224631308,0.230042184331902,0.19188873664453
"DPost Cp",0.197944062047548,0.30929109514692,0.249857672720444,0.157181422258586,0.301912589748145,0.211905464223919,0,0.148434958457765,0.310926060911394,0.237303009104559,0.160838910037804,0.207230045006795,0.183058164682527,0.204963988418907,0.152738784451326,0.240761674978507,0.19101483999246,0.141862625934842,0.215184225010045,0.245898092209545,0.217801648467966
"EPre Cp",0.142996772050936,0.178008398234745,0.16011857216822,0.12865815668591,0.161981880456924,0.139270219409842,0.148434958457765,0,0.249921995444263,0.186556404322891,0.176850699946134,0.188428677784125,0.164343962867374,0.187653122191642,0.136642927721326,0.165951333367924,0.145695616757118,0.13364948882884,0.158027551773313,0.165842679366608,0.155406355952418
"E1st Cp",0.261881267558882,0.335509768024431,0.296991518213343,0.234205193829764,0.321299222961343,0.306304079846157,0.310926060911394,0.249921995444263,0,0.318256200181641,0.251459612248721,0.337368180590127,0.353561431804811,0.325899453107656,0.23119360133049,0.320547327084738,0.316344782699112,0.228410150755058,0.309363580026135,0.309785437164744,0.333904153984035
"E1st WPC",0.198111171495026,0.285072427519466,0.244210256593124,0.167547835343203,0.258425157956535,0.232998325072759,0.237303009104559,0.186556404322891,0.318256200181641,0,0.192521852699548,0.262956927675915,0.278106909073652,0.258814978229558,0.168648364048517,0.256203125703233,0.249083602248975,0.166651111077386,0.237183495045987,0.252924628765933,0.249048058263505
"EInterim",0.156846101701812,0.185944730757694,0.173858780979343,0.142992965263927,0.173342951179614,0.153264882455381,0.160838910037804,0.176850699946134,0.251459612248721,0.192521852699548,0,0.196141638921106,0.174199387842434,0.19582006893343,0.147484489219063,0.175615202790905,0.158990543912202,0.148571046577276,0.171233402040995,0.177510144608685,0.16857644930005
"E2nd Cp",0.186308529137762,0.260162790495136,0.221352246196943,0.158720175100926,0.234731985550231,0.19216703047269,0.207230045006795,0.188428677784125,0.337368180590127,0.262956927675915,0.196141638921106,0,0.239282206667749,0.258391130097802,0.165599173292764,0.235690009225405,0.202170126049102,0.155887387859269,0.219105434097491,0.232839791067402,0.227304756855513
"E2nd WPC",0.16241182575083,0.255610807069016,0.208184034402134,0.134297161132448,0.227736225736454,0.16542647762568,0.183058164682527,0.164343962867374,0.353561431804811,0.278106909073652,0.174199387842434,0.239282206667749,0,0.231206335971732,0.144528147251384,0.227575926081807,0.173827236358218,0.138246207989152,0.196541113613668,0.224723067770112,0.194678987455471
"EPost Cp",0.174678056682612,0.243264484842198,0.213500752267249,0.150966962462424,0.224391584301649,0.186202259135921,0.204963988418907,0.187653122191642,0.325899453107656,0.258814978229558,0.19582006893343,0.258391130097802,0.231206335971732,0,0.158993065722709,0.221591124686289,0.198853183290556,0.156512744211792,0.212663337012289,0.230092074740585,0.216705282382823
"FPre Cp",0.148177270705619,0.184874479998259,0.164046472754711,0.131481239373067,0.172603319835961,0.141998883087422,0.152738784451326,0.136642927721326,0.23119360133049,0.168648364048517,0.147484489219063,0.165599173292764,0.144528147251384,0.158993065722709,0,0.20011728533351,0.159084833071989,0.14789794104915,0.183438342095733,0.190374415029097,0.175914240614924
"F1st Cp",0.197680724330061,0.278482092720728,0.249816162778414,0.172154384955886,0.276455605834924,0.241970906618462,0.240761674978507,0.165951333367924,0.320547327084738,0.256203125703233,0.175615202790905,0.235690009225405,0.227575926081807,0.221591124686289,0.20011728533351,0,0.28537358003011,0.180243202004011,0.284127715600068,0.288856195911707,0.300864382848033
"F1st WPC",0.168649425887249,0.27020092130666,0.229030742607715,0.134730523872826,0.245533595296114,0.187541106329331,0.19101483999246,0.145695616757118,0.316344782699112,0.249083602248975,0.158990543912202,0.202170126049102,0.173827236358218,0.198853183290556,0.159084833071989,0.28537358003011,0,0.153655283018486,0.252602430059213,0.290862205082286,0.239653220119459
"FInterim",0.139449030296636,0.17591830715743,0.159432969095331,0.124579329541456,0.163475785616353,0.133796299225374,0.141862625934842,0.13364948882884,0.228410150755058,0.166651111077386,0.148571046577276,0.155887387859269,0.138246207989152,0.156512744211792,0.14789794104915,0.180243202004011,0.153655283018486,0,0.178924966673559,0.201019890016249,0.173257427729342
"F2nd Cp",0.184587122426923,0.268663661715189,0.226712427995505,0.155809133224138,0.255070440766891,0.199145224631308,0.215184225010045,0.158027551773313,0.309363580026135,0.237183495045987,0.171233402040995,0.219105434097491,0.196541113613668,0.212663337012289,0.183438342095733,0.284127715600068,0.252602430059213,0.178924966673559,0,0.310110213219541,0.302591099170661
"F2nd WPC",0.19273930757363,0.275868341467625,0.247597643850561,0.168762932250456,0.264337716769561,0.230042184331902,0.245898092209545,0.165842679366608,0.309785437164744,0.252924628765933,0.177510144608685,0.232839791067402,0.224723067770112,0.230092074740585,0.190374415029097,0.288856195911707,0.290862205082286,0.201019890016249,0.310110213219541,0,0.306622419701125
"FPost Cp",0.185557089856761,0.290755049750206,0.239326150892999,0.149588448027319,0.27223636174764,0.19188873664453,0.217801648467966,0.155406355952418,0.333904153984035,0.249048058263505,0.16857644930005,0.227304756855513,0.194678987455471,0.216705282382823,0.175914240614924,0.300864382848033,0.239653220119459,0.173257427729342,0.302591099170661,0.306622419701125,0
