"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.329100619268784,0.164927500562331,0.204461984005562,0.270809996138858,0.33073415426569,0.307637403014203,0.179359065465252,0.293560589716883,0.222986620722056,0.2100165066046,0.105725283026524,0.29151851846028,0.110971727632829,0.135035431417033,0.241337085917985,0.345780359669396,0.116371439727632,0.185472963637543,0.247517638280814,0.334762463516393
"D1st Cp",0.329100619268784,0,0.286669587772262,0.398930446347775,0.254682440182804,0.341127539619982,0.343968757576292,0.416427146878468,0.33681837978614,0.206194883880101,0.324251237124448,0.321815369080905,0.344927362691379,0.297868987244082,0.384222561883447,0.186515518769685,0.32928195622758,0.342315780066521,0.321598127393275,0.147692384401129,0.381337010615238
"D1st WPC",0.164927500562331,0.286669587772262,0,0.327534616947531,0.143162167307301,0.341845743991968,0.313235182229307,0.290638068611826,0.315662595088684,0.13487500925026,0.299278975081912,0.115218788239397,0.317292361569343,0.122905386549735,0.270223962111374,0.130218509931581,0.334452448089071,0.252190425716019,0.162400053517671,0.157216043651125,0.323206052119849
"DInterim",0.204461984005562,0.398930446347775,0.327534616947531,0,0.387829006278708,0.329184614174555,0.307895531652568,0.251512649725425,0.353294353504623,0.355151746719618,0.24436730878648,0.255717652597112,0.256085625495639,0.239919181280089,0.127451649153806,0.374768741602559,0.362293684030819,0.0905665889358147,0.299181722342235,0.359731782069844,0.339947882078965
"D2nd Cp",0.270809996138858,0.254682440182804,0.143162167307301,0.387829006278708,0,0.313730074575162,0.301521869941637,0.389644162906797,0.356750781017117,0.154905660196755,0.369126275112025,0.223910479662031,0.303339755054767,0.204994630415362,0.357042701356765,0.110207527247359,0.289198917662369,0.327452562859838,0.224274193780013,0.11256681953178,0.301717978610766
"D2nd WPC",0.33073415426569,0.341127539619982,0.341845743991968,0.329184614174555,0.313730074575162,0,0.0786877437613557,0.46682751079192,0.430863041021596,0.374969646608739,0.441589461415838,0.334022402766489,0.105175898731509,0.337056135024521,0.382537304126593,0.329766404427284,0.0719515643558118,0.330391643846796,0.278200435258417,0.310258968614389,0.197619483513661
"DPost Cp",0.307637403014203,0.343968757576292,0.313235182229307,0.307895531652568,0.301521869941637,0.0786877437613557,0,0.443165772194987,0.418172598169683,0.354105045202053,0.428974018525101,0.30145333390515,0.104619671081562,0.308627241293735,0.355550244341891,0.316318625285189,0.0999998747766234,0.312598389502906,0.234243708385368,0.306409732470316,0.144313283580895
"EPre Cp",0.179359065465252,0.416427146878468,0.290638068611826,0.251512649725425,0.389644162906797,0.46682751079192,0.443165772194987,0,0.360232144314376,0.332240924860038,0.196898027785218,0.22644406637669,0.447643262035809,0.225964610554909,0.135739772970135,0.366333728913928,0.491071015412177,0.198447894859931,0.316092295719685,0.375601568955384,0.45606508713908
"E1st Cp",0.293560589716883,0.33681837978614,0.315662595088684,0.353294353504623,0.356750781017117,0.430863041021596,0.418172598169683,0.360232144314376,0,0.333472446725247,0.294360993476632,0.342503519753298,0.436734557943282,0.324972720564842,0.329639762255435,0.326961782217239,0.44161318584352,0.313085568233318,0.36061612344974,0.321759812328647,0.452478589318915
"E1st WPC",0.222986620722056,0.206194883880101,0.13487500925026,0.355151746719618,0.154905660196755,0.374969646608739,0.354105045202053,0.332240924860038,0.333472446725247,0,0.290985268011196,0.222388746254672,0.410125994120285,0.201652036424518,0.315765328684682,0.0866899886852803,0.382306217462937,0.297798495262367,0.24317485267947,0.10450153127207,0.381871928618334
"EInterim",0.2100165066046,0.324251237124448,0.299278975081912,0.24436730878648,0.369126275112025,0.441589461415838,0.428974018525101,0.196898027785218,0.294360993476632,0.290985268011196,0,0.280075973948429,0.418426680983063,0.256471459944803,0.195139535389663,0.330899756461906,0.468040987011507,0.198231235116028,0.355391440044184,0.325122122662391,0.46099977982883
"E2nd Cp",0.105725283026524,0.321815369080905,0.115218788239397,0.255717652597112,0.223910479662031,0.334022402766489,0.30145333390515,0.22644406637669,0.342503519753298,0.222388746254672,0.280075973948429,0,0.337062485784297,0.0896621659997463,0.191282669350179,0.22535327797116,0.350432859712329,0.200217671807267,0.133219994477251,0.242742721281015,0.310683875366815
"E2nd WPC",0.29151851846028,0.344927362691379,0.317292361569343,0.256085625495639,0.303339755054767,0.105175898731509,0.104619671081562,0.447643262035809,0.436734557943282,0.410125994120285,0.418426680983063,0.337062485784297,0,0.3325976434084,0.328958572128298,0.344834905383864,0.162721783004547,0.278809352098165,0.275581151036809,0.327342334628632,0.187305382032523
"EPost Cp",0.110971727632829,0.297868987244082,0.122905386549735,0.239919181280089,0.204994630415362,0.337056135024521,0.308627241293735,0.225964610554909,0.324972720564842,0.201652036424518,0.256471459944803,0.0896621659997463,0.3325976434084,0,0.183071370724803,0.210923115880126,0.356880135083537,0.196075249766745,0.180230154568603,0.221321010747677,0.318923565233696
"FPre Cp",0.135035431417033,0.384222561883447,0.270223962111374,0.127451649153806,0.357042701356765,0.382537304126593,0.355550244341891,0.135739772970135,0.329639762255435,0.315765328684682,0.195139535389663,0.191282669350179,0.328958572128298,0.183071370724803,0,0.368485698321697,0.420772098506452,0.104761924324196,0.276938556818116,0.362216321599618,0.379292038126465
"F1st Cp",0.241337085917985,0.186515518769685,0.130218509931581,0.374768741602559,0.110207527247359,0.329766404427284,0.316318625285189,0.366333728913928,0.326961782217239,0.0866899886852803,0.330899756461906,0.22535327797116,0.344834905383864,0.210923115880126,0.368485698321697,0,0.346396861646764,0.326902738123911,0.250872204631531,0.0588140758137033,0.3819126141564
"F1st WPC",0.345780359669396,0.32928195622758,0.334452448089071,0.362293684030819,0.289198917662369,0.0719515643558118,0.0999998747766234,0.491071015412177,0.44161318584352,0.382306217462937,0.468040987011507,0.350432859712329,0.162721783004547,0.356880135083537,0.420772098506452,0.346396861646764,0,0.375652725826699,0.303489456753797,0.333492184590356,0.215393396964185
"FInterim",0.116371439727632,0.342315780066521,0.252190425716019,0.0905665889358147,0.327452562859838,0.330391643846796,0.312598389502906,0.198447894859931,0.313085568233318,0.297798495262367,0.198231235116028,0.200217671807267,0.278809352098165,0.196075249766745,0.104761924324196,0.326902738123911,0.375652725826699,0,0.277707696040651,0.336245262709701,0.365092559517283
