"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.187908575315049,0.13618971115905,0.152579617554351,0.142763440587829,0.0715346685214303,0.0785625827712548,0.0635703166822011,0.0687022070710936,0.0540334105089138,0.0566168097867031,0.0665616143264759,0.0421050779586599,0.0563169559841426,0.0762895061906582,0.0747344602001395,0.0399331314875026,0.0748128475921923,0.0619335330700481,0.0785195565560842,0
"D1st Cp",0.187908575315049,0,0.192044170574866,0.121536248574928,0.216564860826998,0.0725780883538327,0.0772717743735182,0.0556013436062513,0.0831476469463535,0.0681680119846575,0.0529920713519662,0.0809839828875892,0.0511606561049338,0.0630386594317568,0.0839348877216084,0.12307268212383,0.0485484702126686,0.0808414982893055,0.093055428836942,0.0993534178126011,0
"D1st WPC",0.13618971115905,0.192044170574866,0,0.131434575914772,0.166235372472715,0.109971928544254,0.0903689145069698,0.0620852064204739,0.10321094859107,0.0860948217352943,0.0593837223743283,0.091504247973723,0.052761621623964,0.0686006713786345,0.0733692762647548,0.100803031568303,0.056241417027917,0.0877611363142092,0.0815019965691767,0.0998234961735199,0
"DInterim",0.152579617554351,0.121536248574928,0.131434575914772,0,0.133862991851936,0.0782218777179382,0.0780634957731953,0.0620992781748774,0.0610434613347447,0.0503831382689058,0.058346703969302,0.0619834123872266,0.0392053459041741,0.0561887663256585,0.0716179368945738,0.0695905221802017,0.038733995671834,0.0755557322918925,0.0516626992994345,0.0656780245764176,0
"D2nd Cp",0.142763440587829,0.216564860826998,0.166235372472715,0.133862991851936,0,0.0995246799114688,0.104219264340182,0.0469188892906635,0.0715677146493409,0.0644397902396929,0.044776377710749,0.0727217180875559,0.048505800732559,0.0614843162234291,0.0697664468852637,0.0896833330721262,0.0443854709675053,0.0670312563210549,0.0664036974150398,0.0730431106878209,0
"D2nd WPC",0.0715346685214303,0.0725780883538327,0.109971928544254,0.0782218777179382,0.0995246799114688,0,0.0907636746386145,0.0317782022918306,0.0529088171514223,0.0510333918385017,0.0274869648094292,0.0412056902413635,0.0354224226841165,0.036319002329274,0.0382804041730852,0.045540348475354,0.0495793765262124,0.053908992200095,0.0504966142355962,0.0418197748016482,0
"DPost Cp",0.0785625827712548,0.0772717743735182,0.0903689145069698,0.0780634957731953,0.104219264340182,0.0907636746386145,0,0.0352233140760463,0.0371488012785469,0.0345769266715372,0.0296505109008073,0.042840340758235,0.0345884176392416,0.0446016223471812,0.0418269147246936,0.0431696630176749,0.0443095407535505,0.0473460041215664,0.0481010768590837,0.0499373478337837,0
"EPre Cp",0.0635703166822011,0.0556013436062513,0.0620852064204739,0.0620992781748774,0.0469188892906635,0.0317782022918306,0.0352233140760463,0,0.107289409729919,0.0700998693902708,0.119025515624925,0.105628337644496,0.0614692386242868,0.113075966117943,0.0671457523149862,0.0494250275470024,0.0298110036846787,0.0670910618314571,0.0423985175692319,0.0600461536043403,0
"E1st Cp",0.0687022070710936,0.0831476469463535,0.10321094859107,0.0610434613347447,0.0715677146493409,0.0529088171514223,0.0371488012785469,0.107289409729919,0,0.177467348503604,0.092927711561974,0.132159941015102,0.0669831377675717,0.0878482349373671,0.061734722015385,0.0657886584423572,0.0316869379235996,0.0731448948615921,0.0585690274416534,0.0688059102339501,0
"E1st WPC",0.0540334105089138,0.0681680119846575,0.0860948217352943,0.0503831382689058,0.0644397902396929,0.0510333918385017,0.0345769266715372,0.0700998693902708,0.177467348503604,0,0.0651544316166543,0.105831358116383,0.0990226413357699,0.072443737452513,0.0466827572620008,0.0619642316120191,0.0389371751910862,0.0556928993465467,0.0422479035714284,0.0550322817030393,0
