"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,0.812091424684951,0.86381028884095,0.847420382445649,0.857236559412171,0.92846533147857,0.921437417228745,0.936429683317799,0.931297792928906,0.945966589491086,0.943383190213297,0.933438385673524,0.95789492204134,0.943683044015857,0.923710493809342,0.92526553979986,0.960066868512497,0.925187152407808,0.938066466929952,0.921480443443916,0.9557375935242
"D1st Cp",0.812091424684951,0,0.807955829425135,0.878463751425072,0.783435139173002,0.927421911646167,0.922728225626482,0.944398656393749,0.916852353053647,0.931831988015343,0.947007928648034,0.919016017112411,0.948839343895066,0.936961340568243,0.916065112278392,0.876927317876171,0.951451529787331,0.919158501710695,0.906944571163058,0.900646582187399,0.938657930164905
"D1st WPC",0.86381028884095,0.807955829425135,0,0.868565424085228,0.833764627527285,0.890028071455746,0.90963108549303,0.937914793579526,0.89678905140893,0.913905178264706,0.940616277625672,0.908495752026277,0.947238378376036,0.931399328621366,0.926630723735245,0.899196968431697,0.943758582972083,0.912238863685791,0.918498003430823,0.90017650382648,0.952741810536106
"DInterim",0.847420382445649,0.878463751425072,0.868565424085228,0,0.866137008148064,0.921778122282062,0.921936504226805,0.937900721825123,0.938956538665255,0.949616861731094,0.941653296030698,0.938016587612773,0.960794654095826,0.943811233674341,0.928382063105426,0.930409477819798,0.961266004328166,0.924444267708108,0.948337300700566,0.934321975423582,0.963228725437905
"D2nd Cp",0.857236559412171,0.783435139173002,0.833764627527285,0.866137008148064,0,0.900475320088531,0.895780735659818,0.953081110709336,0.928432285350659,0.935560209760307,0.955223622289251,0.927278281912444,0.951494199267441,0.938515683776571,0.930233553114736,0.910316666927874,0.955614529032495,0.932968743678945,0.93359630258496,0.926956889312179,0.949712136949985
"D2nd WPC",0.92846533147857,0.927421911646167,0.890028071455746,0.921778122282062,0.900475320088531,0,0.909236325361386,0.968221797708169,0.947091182848578,0.948966608161498,0.972513035190571,0.958794309758637,0.964577577315884,0.963680997670726,0.961719595826915,0.954459651524646,0.950420623473788,0.946091007799905,0.949503385764404,0.958180225198352,0.977927958698291
"DPost Cp",0.921437417228745,0.922728225626482,0.90963108549303,0.921936504226805,0.895780735659818,0.909236325361386,0,0.964776685923954,0.962851198721453,0.965423073328463,0.970349489099193,0.957159659241765,0.965411582360758,0.955398377652819,0.958173085275306,0.956830336982325,0.955690459246449,0.952653995878434,0.951898923140916,0.950062652166216,0.965697879846412
"EPre Cp",0.936429683317799,0.944398656393749,0.937914793579526,0.937900721825123,0.953081110709336,0.968221797708169,0.964776685923954,0,0.892710590270081,0.929900130609729,0.880974484375075,0.894371662355504,0.938530761375713,0.886924033882057,0.932854247685014,0.950574972452998,0.970188996315321,0.932908938168543,0.957601482430768,0.93995384639566,0.968951231067548
"E1st Cp",0.931297792928906,0.916852353053647,0.89678905140893,0.938956538665255,0.928432285350659,0.947091182848578,0.962851198721453,0.892710590270081,0,0.822532651496396,0.907072288438026,0.867840058984898,0.933016862232428,0.912151765062633,0.938265277984615,0.934211341557643,0.9683130620764,0.926855105138408,0.941430972558347,0.93119408976605,0.967954293377493
"E1st WPC",0.945966589491086,0.931831988015343,0.913905178264706,0.949616861731094,0.935560209760307,0.948966608161498,0.965423073328463,0.929900130609729,0.822532651496396,0,0.934845568383346,0.894168641883617,0.90097735866423,0.927556262547487,0.953317242737999,0.938035768387981,0.961062824808914,0.944307100653453,0.957752096428572,0.944967718296961,0.971291406875049
"EInterim",0.943383190213297,0.947007928648034,0.940616277625672,0.941653296030698,0.955223622289251,0.972513035190571,0.970349489099193,0.880974484375075,0.907072288438026,0.934845568383346,0,0.919978304270724,0.949454010619829,0.915712805120965,0.929932226179569,0.944619828017001,0.972678654721159,0.92929840604294,0.955283853160561,0.934524935384282,0.967397956616754
"E2nd Cp",0.933438385673524,0.919016017112411,0.908495752026277,0.938016587612773,0.927278281912444,0.958794309758637,0.957159659241765,0.894371662355504,0.867840058984898,0.894168641883617,0.919978304270724,0,0.898027169295616,0.879588192085194,0.938390154493582,0.932872354003589,0.962383784475227,0.940895146865657,0.945248954319228,0.922999665505942,0.955831259963869
"E2nd WPC",0.95789492204134,0.948839343895066,0.947238378376036,0.960794654095826,0.951494199267441,0.964577577315884,0.965411582360758,0.938530761375713,0.933016862232428,0.90097735866423,0.949454010619829,0.898027169295616,0,0.917651637586189,0.960975943406977,0.956302077901354,0.960003916715094,0.961487326099186,0.96151290314288,0.954542303710741,0.964620191129518
"EPost Cp",0.943683044015857,0.936961340568243,0.931399328621366,0.943811233674341,0.938515683776571,0.963680997670726,0.955398377652819,0.886924033882057,0.912151765062633,0.927556262547487,0.915712805120965,0.879588192085194,0.917651637586189,0,0.942950739511188,0.948115936645277,0.959435709109714,0.9482701244732,0.952833063787408,0.934010792059865,0.961361986851133
"FPre Cp",0.923710493809342,0.916065112278392,0.926630723735245,0.928382063105426,0.930233553114736,0.961719595826915,0.958173085275306,0.932854247685014,0.938265277984615,0.953317242737999,0.929932226179569,0.938390154493582,0.960975943406977,0.942950739511188,0,0.89532197647244,0.95353954458609,0.895489876410785,0.926690713583381,0.899230089690643,0.946625996446127
"F1st Cp",0.92526553979986,0.876927317876171,0.899196968431697,0.930409477819798,0.910316666927874,0.954459651524646,0.956830336982325,0.950574972452998,0.934211341557643,0.938035768387981,0.944619828017001,0.932872354003589,0.956302077901354,0.948115936645277,0.89532197647244,0,0.917940513192819,0.908391205249567,0.904993476573644,0.869430591748962,0.924427812036333
"F1st WPC",0.960066868512497,0.951451529787331,0.943758582972083,0.961266004328166,0.955614529032495,0.950420623473788,0.955690459246449,0.970188996315321,0.9683130620764,0.961062824808914,0.972678654721159,0.962383784475227,0.960003916715094,0.959435709109714,0.95353954458609,0.917940513192819,0,0.929301267445042,0.915133404684997,0.912267117911664,0.94255217325432
"FInterim",0.925187152407808,0.919158501710695,0.912238863685791,0.924444267708108,0.932968743678945,0.946091007799905,0.952653995878434,0.932908938168543,0.926855105138408,0.944307100653453,0.92929840604294,0.940895146865657,0.961487326099186,0.9482701244732,0.895489876410785,0.908391205249567,0.929301267445042,0,0.868664279877323,0.865587164216616,0.937797090320368
"F2nd Cp",0.938066466929952,0.906944571163058,0.918498003430823,0.948337300700566,0.93359630258496,0.949503385764404,0.951898923140916,0.957601482430768,0.941430972558347,0.957752096428572,0.955283853160561,0.945248954319228,0.96151290314288,0.952833063787408,0.926690713583381,0.904993476573644,0.915133404684997,0.868664279877323,0,0.82279125443689,0.90149307927084
"F2nd WPC",0.921480443443916,0.900646582187399,0.90017650382648,0.934321975423582,0.926956889312179,0.958180225198352,0.950062652166216,0.93995384639566,0.93119408976605,0.944967718296961,0.934524935384282,0.922999665505942,0.954542303710741,0.934010792059865,0.899230089690643,0.869430591748962,0.912267117911664,0.865587164216616,0.82279125443689,0,0.8767968373151
