"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,1384917.2684977,35589.2000604564,6657.05692732648,119842.310738647,14053.8072591707,16880.6574735719,2099.11497075553,18948054.5162267,93224.4820447133,55847.3907539361,12226.2411061712,7708.88119470743,15915.5016865072,2534.46466834206,101745.544023222,10955.3488192287,2563.20626003052,14412.1448484729,106615.738157857,12350.6616194887
"D1st Cp",1384917.2684977,0,2825764.89922246,898672.957751755,4533102.03868073,4372050.5620538,4834720.63372145,164566.699205392,39720719.4272261,1223523.0718678,177603.574965383,1164643.35678397,2237022.11862163,769912.949246804,332010.931770952,1798598.96100594,3316753.78489938,342412.174307304,2061447.73940936,1606156.18094504,3541715.00652196
"D1st WPC",35589.2000604564,2825764.89922246,0,28876.2800851659,277539.972078936,177335.411636991,158617.012985699,7162.02429900613,36216028.1512505,230715.650329504,84941.1184665146,47346.8975577483,73015.0927177367,49557.4447686827,11586.7603703018,275393.272716018,129149.289646922,13780.5997876921,72235.7837291072,292512.165583131,110255.76904171
"DInterim",6657.05692732648,898672.957751755,28876.2800851659,0,104226.667116958,742.707530959041,1049.56711230623,1177.58058197269,14473272.2539524,67371.0812969668,48822.7180410432,6889.63981735203,500.210747868888,11103.0223528478,842.202952850218,82953.7885542205,667.954100312662,814.981259155769,6981.88888880135,84357.4298516413,1643.68184392361
"D2nd Cp",119842.310738647,4533102.03868073,277539.972078936,104226.667116958,0,760525.159995982,920792.715125573,17051.9758844501,42492671.2246981,362133.321037835,93761.1629242418,130297.674328487,276902.382709997,112678.28148139,35355.7384872927,530203.633497813,458206.380700945,37310.7114851427,257786.852060645,476388.379935381,485434.190453107
"D2nd WPC",14053.8072591707,4372050.5620538,177335.411636991,742.707530959041,760525.159995982,0,7502.29583798305,2627.25617373974,49191702.081269,424565.07909511,89072.7560043503,28775.6039908711,1796.97417102871,46030.7489296483,2125.81042635359,534006.189969813,4354.98634633275,2166.14259676976,44934.8665235574,490083.665557623,11118.1960497266
"DPost Cp",16880.6574735719,4834720.63372145,158617.012985699,1049.56711230623,920792.715125573,7502.29583798305,0,2992.25513335018,44528546.7454197,369261.749343254,97339.2876467306,32391.4170337827,3536.10540477634,57036.643576863,2483.5910434494,461676.394195448,6433.59539019279,2329.03621858844,48630.9907193617,555078.920232059,16356.5043517582
"EPre Cp",2099.11497075553,164566.699205392,7162.02429900613,1177.58058197269,17051.9758844501,2627.25617373974,2992.25513335018,0,14058458.936107,44906.5025219344,70343.0093240898,6330.4688606238,4247.88760983869,11296.4022328094,1233.74178239283,28017.4722260047,3166.29772491074,1345.4274102262,4546.16431795059,32173.4334148421,3409.08836596439
"E1st Cp",18948054.5162267,39720719.4272261,36216028.1512505,14473272.2539524,42492671.2246981,49191702.081269,44528546.7454197,14058458.936107,0,55794888.3328057,9239287.99052391,60872073.8007025,75319255.9199813,39005667.5786905,11210273.2146681,35965449.794657,49661874.0597144,12929622.3845908,38490819.1776066,32628816.2929123,52464276.3141485
"E1st WPC",93224.4820447133,1223523.0718678,230715.650329504,67371.0812969668,362133.321037835,424565.07909511,369261.749343254,44906.5025219344,55794888.3328057,0,113348.648630406,286634.556782715,801920.61140824,233427.602829896,46263.0517837521,344264.022936709,522065.258178119,55875.2372048516,242161.318364693,336621.063662291,400376.231881538
"EInterim",55847.3907539361,177603.574965383,84941.1184665146,48822.7180410432,93761.1629242418,89072.7560043503,97339.2876467306,70343.0093240898,9239287.99052391,113348.648630406,0,127057.95925606,133230.668831306,120300.435534678,43346.295982986,91590.4911242196,103707.441137185,50799.0800561219,92840.4534086086,99379.5100713166,110543.250607902
"E2nd Cp",12226.2411061712,1164643.35678397,47346.8975577483,6889.63981735203,130297.674328487,28775.6039908711,32391.4170337827,6330.4688606238,60872073.8007025,286634.556782715,127057.95925606,0,61108.1051900494,71469.9565607853,5681.8236333254,186400.879052362,35818.28621201,5722.56513044353,35664.5544600316,203500.373147569,42250.3082354348
"E2nd WPC",7708.88119470743,2237022.11862163,73015.0927177367,500.210747868888,276902.382709997,1796.97417102871,3536.10540477634,4247.88760983869,75319255.9199813,801920.61140824,133230.668831306,61108.1051900494,0,93307.8068620154,1939.69110607807,367432.269847557,2785.40075034363,1957.12807436558,33298.7470367981,389424.736903512,9157.4313415163
"EPost Cp",15915.5016865072,769912.949246804,49557.4447686827,11103.0223528478,112678.28148139,46030.7489296483,57036.643576863,11296.4022328094,39005667.5786905,233427.602829896,120300.435534678,71469.9565607853,93307.8068620154,0,9305.04782414722,141102.618738402,61663.1885830225,10472.7324241829,47369.9095288226,176606.156834983,63599.0073991915
"FPre Cp",2534.46466834206,332010.931770952,11586.7603703018,842.202952850218,35355.7384872927,2125.81042635359,2483.5910434494,1233.74178239283,11210273.2146681,46263.0517837521,43346.295982986,5681.8236333254,1939.69110607807,9305.04782414722,0,97875.7623477092,3322.01592624897,1475.61506928607,8836.90246339464,92941.0773511029,4261.35443317879
"F1st Cp",101745.544023222,1798598.96100594,275393.272716018,82953.7885542205,530203.633497813,534006.189969813,461676.394195448,28017.4722260047,35965449.794657,344264.022936709,91590.4911242196,186400.879052362,367432.269847557,141102.618738402,97875.7623477092,0,1162647.04537531,84835.3756850931,571864.60049245,710096.397013667,1015986.57203364
"F1st WPC",10955.3488192287,3316753.78489938,129149.289646922,667.954100312662,458206.380700945,4354.98634633275,6433.59539019279,3166.29772491074,49661874.0597144,522065.258178119,103707.441137185,35818.28621201,2785.40075034363,61663.1885830225,3322.01592624897,1162647.04537531,0,3819.76858012034,119926.957757845,1377967.49704379,28738.8795366845
"FInterim",2563.20626003052,342412.174307304,13780.5997876921,814.981259155769,37310.7114851427,2166.14259676976,2329.03621858844,1345.4274102262,12929622.3845908,55875.2372048516,50799.0800561219,5722.56513044353,1957.12807436558,10472.7324241829,1475.61506928607,84835.3756850931,3819.76858012034,0,11729.7918415954,160529.689178511,5220.56019902671
