"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,1460.21900116103,1691.34410102613,453.070061802639,2724.04432960375,5606.08862306559,4784.52525714728,5595.54786613158,2309.0186642946,1401.76544444694,7709.32167608812,1399.10458098233,5492.71220597831,829.361590889423,2412.71574384862,2569.99474162178,6947.68039997826,1586.27993523675,3680.63500857433,2513.50117705391,5863.72627156257
"D1st Cp",1460.21900116103,0,83.6680375701569,2253.13025660187,621.439359798592,1967.33408963684,1688.70514443901,7079.90967031009,3011.67717335497,581.313511991781,8968.30060550187,658.282305824575,1664.47563939006,1221.53770359722,4187.25446676342,254.399729498062,2584.90797814137,3655.75790205094,833.462637404457,200.960462959889,2097.30194396237
"D1st WPC",1691.34410102613,83.6680375701569,0,2480.60519578664,903.330510460609,2338.47702733697,2153.95902112279,7572.15513108912,3169.16231365599,531.981764155174,9285.86215598156,623.622291035341,2190.66214438646,1231.04357089359,4632.77420608474,412.748894537278,3139.55399997372,3790.06353234766,1143.83240672062,341.060366453017,2755.33509014138
"DInterim",453.070061802639,2253.13025660187,2480.60519578664,0,3627.55202249043,7474.08600220523,6609.71180195195,5506.10731623753,2218.58527609785,2245.24458979265,7760.41295169907,2250.77500020493,7412.27544730772,1591.20848752732,2041.89269690057,3518.85306200816,9444.90809712422,1036.45486869562,5066.09932195292,3499.02091664777,8044.20834282313
"D2nd Cp",2724.04432960375,621.439359798592,903.330510460609,3627.55202249043,0,1101.67524513355,842.739467961413,9583.67713379057,4018.13665555518,1653.87623762051,11344.1365968327,1832.65312444351,698.39473683982,2496.07714853656,6105.24949055114,621.027917974402,1765.21993817848,5628.97851937631,90.4018625098644,746.813463954932,1306.67584572307
"D2nd WPC",5606.08862306559,1967.33408963684,2338.47702733697,7474.08600220523,1101.67524513355,0,205.110264335637,13956.080660393,5450.94754547687,3301.93800645355,15540.2277123579,4137.27206662779,1073.73527017012,4990.16638635227,10292.6394971011,2156.00651079903,518.569996671302,9516.93052996755,1780.50427045563,2376.994903206,136.033436754757
"DPost Cp",4784.52525714728,1688.70514443901,2153.95902112279,6609.71180195195,842.739467961413,205.110264335637,0,12672.4465607937,5386.01539963371,3146.37479828561,14441.9623179755,3593.3345707367,705.525583306157,4225.66337030196,9186.58918415668,1978.76245829537,764.541447460997,8759.37249143047,1434.98646397778,1995.47539558603,340.637044019438
"EPre Cp",5595.54786613158,7079.90967031009,7572.15513108912,5506.10731623753,9583.67713379057,13956.080660393,12672.4465607937,0,695.040425030083,5674.63109304334,1980.75419181754,5178.37607601583,10109.9364246724,4546.11683626134,3148.15275363109,8184.79891326549,14088.033011536,4263.86656945004,9757.06832720331,7892.34457173358,12688.6725703839
"E1st Cp",2309.0186642946,3011.67717335497,3169.16231365599,2218.58527609785,4018.13665555518,5450.94754547687,5386.01539963371,695.040425030083,0,2202.25719622297,2181.31176614297,2253.22601461803,4117.21821237412,2202.44873773202,1058.76101446747,3512.52725110843,5826.82927681538,1651.3679394881,4206.89317409478,3547.47030462023,5291.43763024389
"E1st WPC",1401.76544444694,581.313511991781,531.981764155174,2245.24458979265,1653.87623762051,3301.93800645355,3146.37479828561,5674.63109304334,2202.25719622297,0,7585.40549968686,35.4180250756882,1948.62919609033,492.053320277129,3921.93711250842,967.663226963417,3563.48627203607,3041.46492043121,1781.59871836172,912.520603191597,3335.51402714023
"EInterim",7709.32167608812,8968.30060550187,9285.86215598156,7760.41295169907,11344.1365968327,15540.2277123579,14441.9623179755,1980.75419181754,2181.31176614297,7585.40549968686,0,7173.92140995142,12063.0963638406,6538.48503874136,5522.87083499566,9911.5383023483,15627.5969454359,6408.32797155172,11341.2344411094,9496.29443653541,14139.3482261984
"E2nd Cp",1399.10458098233,658.282305824575,623.622291035341,2250.77500020493,1832.65312444351,4137.27206662779,3593.3345707367,5178.37607601583,2253.22601461803,35.4180250756882,7173.92140995142,0,2290.12432945423,412.03689888813,3813.0891356867,1083.25906872709,4454.20720915507,3161.75017791913,1927.57816157507,990.266879616142,3587.82150581631
