"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,11.7140169035775,10.6079206628063,7.22788222670222,12.1017752059721,11.5876390730863,11.5691642156671,10.039703295501,11.1106896354349,12.1334201035946,10.121060169763,10.3830246181714,10.5522882278528,10.1135126086133,7.34061585980534,11.8644580825536,11.149814055029,6.45101956383056,12.3734126903067,10.4201706257253,12.6549862830506
"D1st Cp",11.7140169035775,0,5.45213288603446,14.6511343884077,3.09925926218553,3.2349384888625,1.25916425268186,15.9530805968111,4.48504720725747,2.71075804581266,15.8682829821537,5.52286849260581,4.37030407931316,6.24990544567278,14.0580718563145,1.91165459857886,3.78505462517811,14.1766439390963,3.65017868345769,6.0584490296505,6.00266653388226
"D1st WPC",10.6079206628063,5.45213288603446,0,13.5573942612296,6.32012850637225,4.26118345925343,5.09102668797549,15.0574378294688,3.44589966437534,6.41389769369785,14.9874989704274,1.96406624389841,2.33713465613664,3.37329570476692,13.1001498382943,5.93682212490981,3.02383197420145,13.0726382530968,6.97212931469785,3.35864323608422,8.74263370786541
"DInterim",7.22788222670222,14.6511343884077,13.5573942612296,0,14.9716083575591,14.5352558872488,14.5082254223551,6.67984391953978,14.0560528484491,14.9646116616525,6.95782275894538,13.4090331224515,13.6289242622405,13.1369272479923,2.9783468082996,14.7643209326238,14.2271803469784,2.89626342947305,15.1898382115805,13.4978852475333,15.3225465314723
"D2nd Cp",12.1017752059721,3.09925926218553,6.32012850637225,14.9716083575591,0,4.53093806665257,3.4700640990303,16.2443744246191,5.52050129990859,1.94449176816279,16.1626906277412,6.35174646465942,5.3576146217395,6.99287289865145,14.3809251726808,2.61499667433241,4.82849734049754,14.5036145117874,2.12277914645028,6.8126251377413,6.22370228677669
"D2nd WPC",11.5876390730863,3.2349384888625,4.26118345925343,14.5352558872488,4.53093806665257,0,2.85502789422889,15.938859806187,2.43167376748424,4.49682913457418,15.8685403466385,4.54039311499923,3.39765176644449,5.39282014885694,14.0070955639014,3.90831437867047,3.27160179394669,14.0533895431792,5.30593713425534,5.22544951312487,7.65467716445242
"DPost Cp",11.5691642156671,1.25916425268186,5.09102668797549,14.5082254223551,3.4700640990303,2.85502789422889,0,15.8813596383928,3.91410110911356,3.15665320438282,15.8046254780863,5.22761487099773,4.17973792059928,5.92662853812964,13.9584089140385,2.38576160158116,3.89841796366299,14.0311271689105,4.28813368429203,5.76914986747115,7.04436333424697
"EPre Cp",10.039703295501,15.9530805968111,15.0574378294688,6.67984391953978,16.2443744246191,15.938859806187,15.8813596383928,0,15.5192657603572,16.2019655938843,2.95349265878749,14.9478596476296,15.1539681663146,14.7014283555388,6.08818784917449,16.043102628432,15.6602086459899,7.25287052057514,16.3855980685221,15.0803524357874,16.3748581242873
"E1st Cp",11.1106896354349,4.48504720725747,3.44589966437534,14.0560528484491,5.52050129990859,2.43167376748424,3.91410110911356,15.5192657603572,0,5.58163370412788,15.4521285939302,3.87825079689152,2.87944913391501,4.72359506785452,13.5868450460293,5.02586664269908,3.28092392842552,13.5712983360831,6.33323557290999,4.65832240102063,8.59640186171669
"E1st WPC",12.1334201035946,2.71075804581266,6.41389769369785,14.9646116616525,1.94449176816279,4.49682913457418,3.15665320438282,16.2019655938843,5.58163370412788,0,16.1129013216915,6.4525431234476,5.43980799996024,7.09113680148544,14.3659789376859,2.00344477608095,4.88550042710392,14.5050558896503,2.8027809887014,6.9131856502676,6.13988483033891
