"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"DPre Cp",0,1157.50789161015,618.44410055799,560.526666048607,954.621479215341,1397.96010536006,1300.19708190776,1188.78994577936,3448.54572770102,788.970651133112,1800.58361758588,397.42684914928,1219.15947851848,367.46207808945,644.984640006946,886.098845781835,1489.27581239414,434.123625379045,850.613349488692,917.871078853688,1302.99415614381
"D1st Cp",1157.50789161015,0,763.609963536701,1565.06468919461,775.117417547775,1870.73868074443,1730.17439702315,1842.57280117462,3163.53533707347,733.812922324484,1896.6991598576,1072.62057766118,1708.80484833674,1072.68810030142,1527.6730818237,494.519319985377,1964.66511199317,1365.28091453508,1126.28268699609,405.674625037296,1675.27211442465
"D1st WPC",618.44410055799,763.609963536701,0,960.929287081086,598.204365123594,1346.15024668005,1221.99660165239,1549.37880609768,3506.4828333204,543.581842820252,1991.60671209609,487.915123297991,1146.20947032694,638.579737339797,1078.06397755571,423.386312530315,1450.87466680261,847.574486839961,596.164807999462,464.634931992786,1209.33752006967
"DInterim",560.526666048607,1565.06468919461,960.929287081086,0,1153.44307420011,1140.48560731858,1081.58377169559,1207.25054263988,3857.10910421747,1263.94238419461,2070.49319368397,760.144289666945,993.825367673467,816.318961880957,572.949320789698,1224.02348081214,1219.4987087566,348.593013760238,900.042056104257,1266.65343431623,1111.12127779813
"D2nd Cp",954.621479215341,775.117417547775,598.204365123594,1153.44307420011,0,1150.81407306593,1010.3349242511,1809.00153677794,3808.7348769022,1008.5514832559,2244.17018272906,886.849903571429,995.854925548118,992.632032337938,1328.09264338528,423.015316500904,1244.53357759577,1066.27911399147,495.299042387012,428.236647906496,984.958769607793
"D2nd WPC",1397.96010536006,1870.73868074443,1346.15024668005,1140.48560731858,1150.81407306593,0,152.613337424514,2149.35129096258,4767.48692693882,1858.8517110515,2972.36692105711,1379.65403037794,318.272513784086,1552.7347224518,1589.57590100658,1457.62032155919,184.500250348581,1322.20382049117,858.791789646533,1498.40354821858,316.338969280505
"DPost Cp",1300.19708190776,1730.17439702315,1221.99660165239,1081.58377169559,1010.3349242511,152.613337424514,0,2078.1301854862,4644.13603639936,1737.73190946104,2868.32683523023,1276.07158033655,270.803298552023,1449.16796768895,1516.07021721586,1318.22138634499,294.906861851503,1240.57196096098,733.138688487317,1358.79478607931,252.335302055182
"EPre Cp",1188.78994577936,1842.57280117462,1549.37880609768,1207.25054263988,1809.00153677794,2149.35129096258,2078.1301854862,0,3237.79185248973,1522.49410958439,1169.34455983725,1377.23228601219,2007.24441929609,1282.19911573143,790.075412939445,1715.99770382534,2221.88999938943,1026.26250385514,1748.18109061284,1733.21824137214,2080.51402502779
"E1st Cp",3448.54572770102,3163.53533707347,3506.4828333204,3857.10910421747,3808.7348769022,4767.48692693882,4644.13603639936,3237.79185248973,0,3031.20051158035,2297.21188865651,3503.15204770729,4567.932800546,3329.35808822589,3472.62514072813,3467.6238792623,4866.29981099178,3599.70281889412,4004.66513858478,3442.32648576832,4609.8057284747
"E1st WPC",788.970651133112,733.812922324484,543.581842820252,1263.94238419461,1008.5514832559,1858.8517110515,1737.73190946104,1522.49410958439,3031.20051158035,0,1707.68002938646,662.436796563024,1656.95692349005,675.9005107781,1199.63692397718,699.725662061337,1957.44141567546,1075.47728263118,1100.1613093166,701.088875280755,1720.07077082496
"EInterim",1800.58361758588,1896.6991598576,1991.60671209609,2070.49319368397,2244.17018272906,2972.36692105711,2868.32683523023,1169.34455983725,2297.21188865651,1707.68002938646,0,1924.52272713702,2812.1616950999,1762.07898258133,1621.07393933761,2018.79028076535,3054.28186503986,1802.76847635881,2369.30134000035,2003.92107418659,2845.22008685466
"E2nd Cp",397.42684914928,1072.62057766118,487.915123297991,760.144289666945,886.849903571429,1379.65403037794,1276.07158033655,1377.23228601219,3503.15204770729,662.436796563024,1924.52272713702,0,1191.24191510669,366.561733357586,881.240300268523,796.779409744398,1476.32785710443,673.177644109328,784.587127271273,829.37646291479,1274.24007001099
"E2nd WPC",1219.15947851848,1708.80484833674,1146.20947032694,993.825367673467,995.854925548118,318.272513784086,270.803298552023,2007.24441929609,4567.932800546,1656.95692349005,2812.1616950999,1191.24191510669,0,1379.1118822616,1442.35686675708,1281.23669216801,443.796026901447,1172.10898617486,637.268927713383,1330.48039672937,394.479311726929
"EPost Cp",367.46207808945,1072.68810030142,638.579737339797,816.318961880957,992.632032337938,1552.7347224518,1449.16796768895,1282.19911573143,3329.35808822589,675.9005107781,1762.07898258133,366.561733357586,1379.1118822616,0,828.726295501867,876.592360880015,1641.42413259886,669.720997850213,967.012410533534,892.553448810306,1441.44128863145
"FPre Cp",644.984640006946,1527.6730818237,1078.06397755571,572.949320789698,1328.09264338528,1589.57590100658,1516.07021721586,790.075412939445,3472.62514072813,1199.63692397718,1621.07393933761,881.240300268523,1442.35686675708,828.726295501867,0,1295.70229050034,1665.93948374879,356.483295228857,1206.87350627798,1323.16108124596,1525.2138556093
"F1st Cp",886.098845781835,494.519319985377,423.386312530315,1224.02348081214,423.015316500904,1457.62032155919,1318.22138634499,1715.99770382534,3467.6238792623,699.725662061337,2018.79028076535,796.779409744398,1281.23669216801,876.592360880015,1295.70229050034,0,1563.36640101101,1076.14579024203,687.46832865426,137.270654639284,1289.81585141696
"F1st WPC",1489.27581239414,1964.66511199317,1450.87466680261,1219.4987087566,1244.53357759577,184.500250348581,294.906861851503,2221.88999938943,4866.29981099178,1957.44141567546,3054.28186503986,1476.32785710443,443.796026901447,1641.42413259886,1665.93948374879,1563.36640101101,0,1401.78681096915,974.206860568158,1596.65929833096,369.316794350321
"FInterim",434.123625379045,1365.28091453508,847.574486839961,348.593013760238,1066.27911399147,1322.20382049117,1240.57196096098,1026.26250385514,3599.70281889412,1075.47728263118,1802.76847635881,673.177644109328,1172.10898617486,669.720997850213,356.483295228857,1076.14579024203,1401.78681096915,0,926.016284046497,1107.5570550658,1251.11445971948
"F2nd Cp",850.613349488692,1126.28268699609,596.164807999462,900.042056104257,495.299042387012,858.791789646533,733.138688487317,1748.18109061284,4004.66513858478,1100.1613093166,2369.30134000035,784.587127271273,637.268927713383,967.012410533534,1206.87350627798,687.46832865426,974.206860568158,926.016284046497,0,744.63386811986,739.52985646495
"F2nd WPC",917.871078853688,405.674625037296,464.634931992786,1266.65343431623,428.236647906496,1498.40354821858,1358.79478607931,1733.21824137214,3442.32648576832,701.088875280755,2003.92107418659,829.37646291479,1330.48039672937,892.553448810306,1323.16108124596,137.270654639284,1596.65929833096,1107.5570550658,744.63386811986,0,1319.70908147464
"FPost Cp",1302.99415614381,1675.27211442465,1209.33752006967,1111.12127779813,984.958769607793,316.338969280505,252.335302055182,2080.51402502779,4609.8057284747,1720.07077082496,2845.22008685466,1274.24007001099,394.479311726929,1441.44128863145,1525.2138556093,1289.81585141696,369.316794350321,1251.11445971948,739.52985646495,1319.70908147464,0
